gap_hours,iuu_caught,spherical_distances,eez_check,exact _name new from diff Oceans,gap_x_distance,score,gear type
199.4833333,0,124.095431,0,North Atlantic Ocean,24754.97022,94,set_longlines
12.51666667,0,20.3583039,1,North Atlantic Ocean,254.8181039,94,fixed_gear
15.81666667,0,18.1447556,1,Mediterranean Sea - Eastern Basin,286.9895511,91,fishing
15.11666667,0,0.769466792,1,North Atlantic Ocean,11.63177301,89,fishing
25.05,0,13.3268172,1,Norwegian Sea,333.8367709,91,fishing
12.98333333,0,61.41738895,1,Barentsz Sea,797.402433,94,pots_and_traps
12.13333333,0,7.065025915,1,Norwegian Sea,85.72231441,91,seiners
53.51666667,0,213.3931224,1,Barentsz Sea,11420.0886,94,fishing
12.06666667,0,263.5290097,1,Norwegian Sea,3179.916718,98,other_purse_seines
19.76666667,0,363.9094385,0,North Atlantic Ocean,7193.276569,98,fishing
87.43333333,0,156.5892231,1,Southern Ocean,13691.11774,98,set_longlines
316.7166667,0,767.8605686,0,Southern Ocean,243194.2398,98,set_longlines
33.43333333,0,49.68385236,0,Southern Ocean,1661.096797,98,set_longlines
82.41666667,0,157.795686,1,Barentsz Sea,13004.99446,98,fishing
26.63333333,0,37.01678699,1,Sea of Okhotsk,985.8804267,94,set_longlines
26.61666667,0,154.1406987,1,Sea of Okhotsk,4102.711598,98,set_longlines
55.53333333,1,40.15513191,1,Sea of Okhotsk,2229.948325,98,set_longlines
12.8,0,21.85824075,1,Sea of Okhotsk,279.7854816,94,fishing
12.91666667,0,283.8674474,1,Sea of Okhotsk,3666.621197,98,fishing
15.75,0,49.08310185,1,Japan Sea,773.0588541,94,set_longlines
40.9,0,8.293718524,1,Sea of Okhotsk,339.2130876,98,pots_and_traps
16.03333333,0,3.229033201,1,Barentsz Sea,51.77216565,98,set_longlines
13.36666667,0,272.3937692,1,Sea of Okhotsk,3640.996716,94,fishing
16.25,0,187.9207058,1,Barentsz Sea,3053.711469,98,fishing
13.01666667,0,9.670693109,1,Barentsz Sea,125.8801887,98,fishing
13.35,0,5.130600358,1,Sea of Okhotsk,68.49351478,91,fixed_gear
14.53333333,0,108.1967193,1,Sea of Okhotsk,1572.458987,94,set_longlines
14.8,0,72.62694324,1,Barentsz Sea,1074.87876,98,set_longlines
16.86666667,0,315.1668713,1,Barentsz Sea,5315.814564,94,set_longlines
17.66666667,0,63.93249316,1,Sea of Okhotsk,1129.474046,98,pole_and_line
24.51666667,0,16.87112094,1,Barentsz Sea,413.6236484,94,fishing
