mmsi,score,flag,gear type,vessel type
111112726,98,other,pole_and_line,Fishing
150402949,86,other,fishing,Fishing
204201370,94,PRT,pole_and_line,Fishing
204206740,91,PRT,pole_and_line,Fishing
204209840,98,PRT,pole_and_line,Fishing
204225000,89,PRT,fishing,Fishing
204284000,91,PRT,fishing,Fishing
204814000,98,PRT,fishing,Fishing
224000240,98,ESP,pole_and_line,Fishing
224006570,91,ESP,set_longlines,Fishing
224014950,94,ESP,fishing,Fishing
224017830,91,ESP,fixed_gear,Fishing
224019630,91,ESP,fishing,Fishing
224019630,91,ESP,fishing,Fishing
224069690,91,ESP,fishing,Fishing
224070000,91,ESP,fishing,Fishing
224070000,91,ESP,fishing,Fishing
224074180,98,ESP,pole_and_line,Fishing
224089000,89,ESP,fishing,Fishing
224089000,89,ESP,fishing,Fishing
224139820,94,ESP,pole_and_line,Fishing
224152340,91,ESP,set_longlines,Fishing
224152340,91,ESP,set_longlines,Fishing
224156290,89,ESP,pole_and_line,Fishing
224218930,94,ESP,fishing,Fishing
224218930,94,ESP,fishing,Fishing
224623000,94,ESP,set_longlines,Fishing
225360000,94,ESP,set_longlines,Fishing
225362000,94,ESP,set_longlines,Fishing
227145800,89,FRA,fishing,Fishing
227378000,91,FRA,set_longlines,Fishing
228858000,94,FRA,set_gillnets,Fishing
231140000,94,FRO,set_longlines,Fishing
232006590,94,GBR,fixed_gear,Fishing
248000728,91,MLT,fishing,Fishing
250001676,89,IRL,fishing,Fishing
257167320,91,NOR,fishing,Fishing
257388000,94,NOR,pots_and_traps,Fishing
257548600,91,NOR,seiners,Fishing
257757000,94,NOR,fishing,Fishing
259526000,98,NOR,other_purse_seines,Fishing
259591508,98,NOR,fishing,Fishing
272770000,98,UKR,set_longlines,Fishing
272770000,98,UKR,set_longlines,Fishing
272770000,98,UKR,set_longlines,Fishing
273297100,98,RUS,fishing,Fishing
273314740,94,RUS,set_longlines,Fishing
273338420,98,RUS,set_longlines,Fishing
273338570,98,RUS,set_longlines,Fishing
273355070,94,RUS,fishing,Fishing
273376350,98,RUS,fishing,Fishing
273383770,94,RUS,set_longlines,Fishing
273390570,98,RUS,pots_and_traps,Fishing
273440730,98,RUS,set_longlines,Fishing
273447860,94,RUS,fishing,Fishing
273510600,98,RUS,fishing,Fishing
273514800,98,RUS,fishing,Fishing
273828600,91,RUS,fixed_gear,Fishing
273841100,94,RUS,set_longlines,Fishing
273843800,98,RUS,set_longlines,Fishing
273844800,94,RUS,set_longlines,Fishing
273852400,98,RUS,pole_and_line,Fishing
273853400,94,RUS,fishing,Fishing
273853400,94,RUS,fishing,Fishing
303397000,94,USA,pots_and_traps,Fishing
303539000,98,USA,pots_and_traps,Fishing
303546000,94,USA,pots_and_traps,Fishing
303679000,91,USA,fishing,Fishing
312397000,94,BLZ,fishing,Fishing
312397000,94,BLZ,fishing,Fishing
316002642,94,CAN,set_longlines,Fishing
316004040,91,CAN,set_longlines,Fishing
316011884,91,CAN,fixed_gear,Fishing
347003300,98,MTQ,pots_and_traps,Fishing
355229000,94,PAN,purse_seines,Fishing
366298000,91,USA,set_longlines,Fishing
366433000,94,USA,set_longlines,Fishing
366433000,94,USA,set_longlines,Fishing
367040420,94,USA,fishing,Fishing
367045260,98,USA,pots_and_traps,Fishing
367101660,94,USA,set_longlines,Fishing
367113880,94,USA,set_longlines,Fishing
367132160,98,USA,pots_and_traps,Fishing
367132160,98,USA,pots_and_traps,Fishing
367137680,94,USA,fishing,Fishing
367147230,91,USA,set_longlines,Fishing
367151060,98,USA,pots_and_traps,Fishing
367172760,98,USA,set_longlines,Fishing
367178220,98,USA,fishing,Fishing
367178220,98,USA,fishing,Fishing
367178220,98,USA,fishing,Fishing
367311460,98,USA,set_longlines,Fishing
367345980,98,USA,trollers,Fishing
367345980,98,USA,trollers,Fishing
367363350,94,USA,pots_and_traps,Fishing
367369840,94,USA,set_longlines,Fishing
367377660,94,USA,purse_seines,Fishing
367377660,94,USA,purse_seines,Fishing
367377660,94,USA,purse_seines,Fishing
367408020,91,USA,set_longlines,Fishing
367530000,94,USA,pots_and_traps,Fishing
367561420,94,USA,fixed_gear,Fishing
367561420,94,USA,fixed_gear,Fishing
367630000,98,USA,set_longlines,Fishing
367741830,94,USA,fixed_gear,Fishing
367788350,98,USA,dredge_fishing,Fishing
367788350,98,USA,dredge_fishing,Fishing
367788350,98,USA,dredge_fishing,Fishing
367788350,98,USA,dredge_fishing,Fishing
368113610,98,USA,fishing,Fishing
368499000,98,USA,set_longlines,Fishing
369174000,91,USA,set_longlines,Fishing
369174000,91,USA,set_longlines,Fishing
369174000,91,USA,set_longlines,Fishing
369174000,91,USA,set_longlines,Fishing
369283000,88,USA,set_longlines,Fishing
369283000,88,USA,set_longlines,Fishing
412329435,89,CHN,fishing,Fishing
412329435,89,CHN,fishing,Fishing
412329435,89,CHN,fishing,Fishing
412330938,89,CHN,fishing,Fishing
412331067,91,CHN,drifting_longlines,Fishing
412331209,91,CHN,fishing,Fishing
412331209,91,CHN,fishing,Fishing
412341272,94,CHN,set_longlines,Fishing
412420164,91,CHN,pole_and_line,Fishing
412420666,98,CHN,pole_and_line,Fishing
412440244,91,CHN,fishing,Fishing
412440495,86,CHN,fishing,Fishing
412446502,0,other,other,other
412697270,91,CHN,pole_and_line,Fishing
416000206,89,TWN,fishing,Fishing
416005557,94,TWN,fishing,Fishing
431004044,94,JPN,fishing,Fishing
431004044,94,JPN,fishing,Fishing
431200140,89,JPN,pole_and_line,Fishing
431410000,94,JPN,pole_and_line,Fishing
431426000,86,JPN,pole_and_line,Fishing
431601657,94,JPN,pole_and_line,Fishing
432927000,98,JPN,fishing,Fishing
432927000,98,JPN,fishing,Fishing
440038000,89,KOR,fishing,Fishing
440203000,98,KOR,set_longlines,Fishing
440347000,94,KOR,set_longlines,Fishing
440347000,94,KOR,set_longlines,Fishing
440755000,98,KOR,set_longlines,Fishing
503003170,91,AUS,fishing,Fishing
503177200,88,AUS,pole_and_line,Fishing
503177200,88,AUS,pole_and_line,Fishing
503177200,88,AUS,pole_and_line,Fishing
503177200,88,AUS,pole_and_line,Fishing
503177200,88,AUS,pole_and_line,Fishing
