mmsi,score,flag,gear type,vessel type
603100289,94.54137,AGO,fishing,Fishing
627851000,94.54137,GHA,pole_and_line,Fishing
635000300,98.627975,ATF,set_longlines,Fishing
635212000,94.54137,ATF,set_longlines,Fishing
645308000,98.627975,MUS,fishing,Fishing
645379000,91.84959,MUS,fishing,Fishing
645441000,94.54137,MUS,fishing,Fishing
665111119,98.627975,SHN,set_longlines,Fishing
725002350,98.627975,CHL,set_longlines,Fishing
770565353,98.627975,URY,set_longlines,Fishing
770576050,98.627975,URY,fishing,Fishing
770576401,98.627975,URY,fishing,Fishing
770576439,98.627975,URY,set_longlines,Fishing
888888819,86.89728,other,fishing,Fishing
900265007,91.84959,other,fishing,Fishing
204204780,98.627975,PRT,set_longlines,Fishing
204826000,98.627975,PRT,pole_and_line,Fishing
204827000,88.2337,PRT,pole_and_line,Fishing
204833000,88.2337,PRT,pole_and_line,Fishing
204838000,94.54137,PRT,pole_and_line,Fishing
204851000,91.84959,PRT,pole_and_line,Fishing
211232850,91.84959,DEU,fixed_gear,Fishing
211285880,94.54137,DEU,set_longlines,Fishing
224000220,91.84959,ESP,set_longlines,Fishing
224018440,98.627975,ESP,set_longlines,Fishing
224040840,98.627975,ESP,pole_and_line,Fishing
224057370,91.84959,ESP,fishing,Fishing
224610000,94.54137,ESP,set_longlines,Fishing
224690000,91.84959,ESP,set_longlines,Fishing
224793000,91.84959,ESP,set_longlines,Fishing
224936000,94.54137,ESP,set_longlines,Fishing
224980000,89.839066,ESP,set_longlines,Fishing
227531000,91.84959,FRA,set_gillnets,Fishing
227957000,98.627975,FRA,set_longlines,Fishing
228224000,94.54137,FRA,fixed_gear,Fishing
231180000,98.627975,FRO,set_longlines,Fishing
232006840,94.54137,GBR,set_gillnets,Fishing
235007300,94.54137,GBR,set_gillnets,Fishing
235054804,98.627975,GBR,set_longlines,Fishing
257143420,94.54137,NOR,set_gillnets,Fishing
257203000,94.54137,NOR,other_purse_seines,Fishing
257312740,88.2337,NOR,fixed_gear,Fishing
258306000,98.627975,NOR,fishing,Fishing
258382000,98.627975,NOR,fishing,Fishing
259023000,98.627975,NOR,set_longlines,Fishing
259292000,98.627975,NOR,set_longlines,Fishing
259457000,98.627975,NOR,set_longlines,Fishing
259647000,98.627975,NOR,set_longlines,Fishing
272364000,98.627975,UKR,set_longlines,Fishing
272645000,98.627975,UKR,set_longlines,Fishing
273348470,94.54137,RUS,set_longlines,Fishing
273350120,94.54137,RUS,fishing,Fishing
273354130,94.54137,RUS,set_longlines,Fishing
273382360,98.627975,RUS,fixed_gear,Fishing
273386230,94.54137,RUS,set_longlines,Fishing
273444060,94.54137,RUS,trawlers,Fishing
273820320,98.627975,RUS,fishing,Fishing
273843610,94.54137,RUS,pots_and_traps,Fishing
