gap_id,mmsi,vessel_class,flag,vessel_length_m,vessel_tonnage_gt,gap_start_timestamp,gap_start_lat,gap_start_lon,gap_start_distance_from_shore_m,gap_end_timestamp,gap_end_lat,gap_end_lon,gap_end_distance_from_shore_m,gap_hours,iuu_caught
600c085cd64e0076ca01ddb0f1a9d17b,416236800,squid_jigger,TWN,72.8,960,2017-10-12 11:23:13+00:00,42.6181,153.3922783,448000,2017-10-18 09:15:51+00:00,40.31037167,152.7788717,623000,141.8666667,0
16ce8246f68a1d8db980b4aa26163bda,416236800,squid_jigger,TWN,72.8,960,2017-08-08 02:04:04+00:00,46.289475,158.08101,407000,2017-08-09 17:41:33+00:00,46.70919167,158.8247683,413000,39.61666667,0
9a0ca1b2da98df2a44a73678b307c56b,416236800,squid_jigger,TWN,72.8,960,2018-09-24 03:32:05+00:00,42.3495,159.0082033,750000,2018-09-24 16:00:50+00:00,42.33040833,159.3481283,771000,12.46666667,0
8cc6edea0c2274b934c3a80f3a3128c6,416236800,squid_jigger,TWN,72.8,960,2019-08-26 04:34:29+00:00,42.36197333,160.4244533,829000,2019-08-27 19:22:47+00:00,41.742245,160.3211467,874000,38.8,0
a5720537a959a2f54478a9d173a499ed,416236800,squid_jigger,TWN,72.8,960,2018-08-08 02:45:12+00:00,47.69872,160.37296,434000,2018-08-08 17:06:33+00:00,48.27505,161.4913267,448000,14.35,0
e067eb22fc17e693f259ac19c2d85e97,416236800,squid_jigger,TWN,72.8,960,2018-09-29 03:58:25+00:00,45.08152167,156.6636917,401000,2018-10-03 01:53:38+00:00,43.45311333,156.6543233,529000,93.91666667,0
54a35a694d6403a5741e49eb3cdc84c7,416236800,squid_jigger,TWN,72.8,960,2018-10-21 02:12:24+00:00,41.59405333,152.2658133,495000,2018-10-23 00:15:02+00:00,40.64972833,149.5383283,413000,46.03333333,0
806d48309f9e733f01ccdf169eafad92,416236900,squid_jigger,TWN,72.8,978,2018-08-05 03:08:37+00:00,47.71924333,160.148795,420000,2018-08-05 17:09:53+00:00,47.75206833,160.1891967,420000,14.01666667,0
b96b044e1f5558efe59f11f7ce515c44,416236900,squid_jigger,TWN,72.8,978,2019-10-28 05:07:52+00:00,42.95782167,153.54483,425000,2019-10-29 19:57:45+00:00,43.19298333,153.4146833,398000,38.81666667,0
5f854aac46a4afdc25a53ceddab25a06,416236900,squid_jigger,TWN,72.8,978,2019-10-03 03:00:21+00:00,43.20106667,157.3655733,589000,2019-10-03 19:49:55+00:00,43.35012667,157.1669683,565000,16.81666667,0
fbb732a698e32757ecf2bee8b2da0cf9,416236900,squid_jigger,TWN,72.8,978,2019-07-03 04:09:53+00:00,44.11018667,164.2300533,921000,2019-07-03 16:49:54+00:00,44.09123,165.9635717,1024000,12.66666667,0
16b7a0171bf2997c51cb72272d1b057b,416238500,squid_jigger,TWN,74.55,998,2017-11-02 11:11:20+00:00,40.17184,150.73008,514000,2017-11-06 12:06:00+00:00,40.91464,151.8370667,519000,96.9,0
d2fd04c7b635e492f652a27791425f29,416238600,squid_jigger,TWN,72.4,960,2019-09-14 16:23:14+00:00,42.38493333,161.9527467,918000,2019-09-15 05:10:23+00:00,41.79283,159.6115933,829000,12.78333333,0
ff65e57e62e035cf6cbe1d1227cf6f8e,416238600,squid_jigger,TWN,72.4,960,2017-10-28 00:19:56+00:00,40.1109,149.5454517,464000,2017-10-28 19:27:43+00:00,40.29949,149.9028333,462000,19.11666667,0
5dad29623648dcaaf5d3ba7965cf957f,416238600,squid_jigger,TWN,72.4,960,2019-11-10 04:21:42+00:00,41.73056,154.8664,600000,2019-11-10 18:22:55+00:00,41.36432,154.3955467,610000,14.01666667,0
4bd8e89052d0019a7d70fdd791c72027,416238600,squid_jigger,TWN,72.4,960,2019-10-15 00:36:37+00:00,42.3984,158.0361333,691000,2019-10-16 02:02:29+00:00,42.27581333,153.9684533,506000,25.41666667,0
cdadd6c49cf3b3029bcef60b8e8d5f47,416239500,squid_jigger,TWN,74.13,1314,2019-07-29 08:13:41+00:00,41.52261333,165.5536267,1202000,2019-08-01 16:26:19+00:00,40.95513833,158.7307533,852000,80.2,0
