vessel_class,gap_hours,iuu_caught,spherical_distances,eez_check,Ocean List New whose false were in OG
other,13.06666667,0,167.1524835,1,pacific
other,209.8,0,225.1182061,1,pacific
other,535.1,0,198.6910965,1,pacific
other,72.13333333,0,123.2576614,1,atlantic
other,183.4333333,0,27.00138759,1,atlantic
other,76.73333333,0,110.4066132,1,atlantic
other,13.91666667,0,44.15411345,1,pacific
other,23.2,0,3.793585766,1,pacific
other,36.38333333,0,72.49177089,1,pacific
other,76.85,0,42.94793897,1,pacific
other,16.91666667,0,20.92571503,1,pacific
other,84.96666667,0,33.87388707,1,pacific
other,60.3,0,417.8901821,1,pacific
other,15.56666667,0,124.4370915,1,pacific
other,109.2666667,0,22.44191739,1,pacific
other,17.33333333,0,9.281642487,1,pacific
other,49.91666667,0,70.53338585,1,pacific
other,57.55,0,36.25074824,1,pacific
other,47.61666667,0,609.6550464,1,pacific
other,15.48333333,0,37.60244688,1,atlantic
other,22.45,0,10.65293549,1,atlantic
other,66.96666667,0,44.08803303,1,atlantic
other,49.95,0,55.41020787,1,atlantic
other,19.93333333,0,0.717082546,1,pacific
other,86.95,0,40.41883732,1,pacific
other,40.21666667,0,396.645247,1,pacific
other,25.28333333,0,240.3311292,1,pacific
other,83.66666667,0,299.2180978,1,pacific
other,768.9333333,0,168.5123371,1,pacific
other,16.25,0,26.53141799,0,atlantic
other,653.6833333,0,10533.022,0,atlantic
other,298.1333333,0,79.33067464,0,atlantic
other,17.16666667,0,11.47153487,0,atlantic
other,37.86666667,0,211.2390212,0,atlantic
other,15.2,0,9.365306548,0,atlantic
other,19.96666667,0,9.616205245,0,atlantic
other,12.08333333,0,51.69449461,1,indian
other,12.11666667,0,3.096997928,0,pacific
other,17.05,0,2.648210851,0,atlantic
other,12.61666667,0,26.23348727,0,pacific
other,13.55,0,5.31490705,0,indian
other,80.83333333,0,2891.65219,1,pacific
other,16.55,0,60.61494726,0,pacific
other,357.35,0,731.4313126,1,pacific
other,14.03333333,0,40.13098719,0,pacific
other,14.7,0,305.3511879,1,pacific
other,70.53333333,0,717.8278908,0,pacific
other,21.88333333,0,232.1509683,1,pacific
other,24.95,0,371.2912333,1,pacific
other,12.06666667,0,5.751800779,0,pacific
other,12.28333333,0,11.32468393,0,pacific
other,151.35,0,28.14848131,1,indian
other,224.4666667,0,553.3539057,0,pacific
other,141.0333333,0,106.3253642,1,southern
other,22.08333333,0,78.59239377,0,atlantic
other,750.3,0,3669.320274,0,pacific
other,16.01666667,0,100.9887106,0,atlantic
other,12.15,0,15.0747697,1,indian
other,13.56666667,0,14.91342351,1,indian
other,117.3666667,0,56.05726685,1,indian
other,42.53333333,0,96.29930886,1,indian
other,13.5,0,76.74723529,1,indian
other,55.95,0,15.40151329,1,indian
other,22.75,0,24.91909307,1,indian
other,2821.316667,0,1110.294861,0,indian
other,14.11666667,0,13.49203169,1,indian
other,81.73333333,0,34.692287,1,indian
other,67.23333333,0,8.614223638,1,southern
other,117.7333333,0,147.2832492,1,pacific
other,17.55,0,28.45683463,1,pacific
other,21.8,0,8.91547981,1,atlantic
other,25.03333333,0,18.88240132,1,atlantic
other,17.35,0,13.66286804,1,atlantic
other,12.13333333,0,200.7453897,1,indian
other,33.91666667,0,14.95941262,1,atlantic
other,85.18333333,0,87.04328613,1,indian
other,155.15,0,260.2576337,1,indian
other,18.08333333,0,5.209510699,1,atlantic
other,12.83333333,0,8.864620711,1,atlantic
other,22.55,0,3.501640862,1,atlantic
other,28.28333333,0,20.44915207,1,atlantic
other,17.11666667,0,112.8708252,1,atlantic
other,22.1,0,406.6055119,0,atlantic
other,16.71666667,0,316.8825811,0,atlantic
other,83.15,0,308.1776843,1,indian
other,49.6,0,39.7531978,1,indian
other,526.6833333,0,8.06936241,1,indian
other,22.58333333,0,18.00608206,1,indian
other,17.5,0,26.72054675,0,indian
other,241.4666667,0,852.2662577,1,indian
other,187.8333333,0,750.5472013,0,southern
other,563.2833333,0,2547.88978,0,pacific
other,43.38333333,0,14.49284301,0,atlantic
other,12.4,0,60.44390507,1,atlantic
other,71.9,0,24.63701711,1,atlantic
other,37.28333333,0,168.8141168,1,atlantic
other,58.28333333,0,790.9658762,0,pacific
other,243.4166667,0,736.9198967,1,pacific
other,12.13333333,0,1.387839206,0,pacific
other,12.43333333,0,10.8381922,0,atlantic
other,22.13333333,0,29.11157262,1,atlantic
other,13.28333333,0,22.81281777,1,atlantic
other,22.28333333,0,38.68292,1,atlantic
other,13.21666667,0,149.9725669,1,atlantic
other,13.6,0,60.32473071,1,atlantic
other,52.15,0,112.2188078,1,atlantic
other,12.03333333,0,13.49032834,1,atlantic
other,12.3,0,25.4116903,1,atlantic
other,104.7833333,0,30.27455118,1,atlantic
other,703.6,0,1199.864166,1,atlantic
other,23.9,0,40.37675893,1,atlantic
other,14.4,0,9.013963361,1,atlantic
other,13.9,0,80.4420419,1,atlantic
other,17.01666667,0,44.79658007,1,atlantic
other,36.28333333,0,233.237325,1,atlantic
other,58.7,0,870.1540696,0,atlantic
other,42.46666667,0,142.6296279,1,atlantic
other,97.73333333,0,30.71741832,1,atlantic
other,247.3,0,62.97408087,1,atlantic
other,15.01666667,0,232.0113127,1,atlantic
other,12.41666667,0,26.51340059,1,atlantic
