,ocean
0,pacific
1,pacific
2,pacific
3,pacific
4,pacific
5,pacific
6,pacific
7,pacific
8,pacific
9,pacific
10,pacific
11,pacific
12,pacific
13,pacific
14,pacific
15,pacific
16,pacific
17,pacific
18,pacific
19,pacific
20,pacific
21,pacific
22,pacific
23,pacific
24,pacific
25,pacific
26,pacific
27,pacific
28,pacific
29,pacific
30,pacific
31,pacific
32,pacific
33,pacific
34,pacific
35,pacific
36,pacific
37,pacific
38,pacific
39,pacific
40,pacific
41,pacific
42,pacific
43,pacific
44,pacific
45,pacific
46,pacific
47,pacific
48,pacific
49,pacific
50,pacific
51,pacific
52,pacific
53,pacific
54,pacific
55,pacific
56,pacific
57,pacific
58,pacific
59,pacific
60,pacific
61,pacific
62,pacific
63,pacific
64,pacific
65,pacific
66,pacific
67,pacific
68,pacific
69,pacific
70,pacific
71,pacific
72,pacific
73,pacific
74,pacific
75,pacific
76,pacific
77,pacific
78,pacific
79,pacific
80,pacific
81,pacific
82,pacific
83,pacific
84,pacific
85,pacific
86,pacific
87,pacific
88,pacific
89,pacific
90,pacific
91,pacific
92,pacific
93,pacific
94,pacific
95,pacific
96,pacific
97,pacific
98,pacific
99,pacific
100,pacific
101,pacific
102,pacific
103,pacific
104,pacific
105,pacific
106,pacific
107,pacific
108,pacific
109,pacific
110,pacific
111,pacific
112,pacific
113,pacific
114,pacific
115,pacific
116,pacific
117,pacific
118,pacific
119,pacific
120,pacific
121,pacific
122,pacific
123,pacific
124,pacific
125,pacific
126,pacific
127,pacific
128,pacific
129,pacific
130,pacific
131,pacific
132,pacific
133,pacific
134,pacific
135,pacific
136,pacific
137,pacific
138,pacific
139,pacific
140,pacific
141,pacific
142,pacific
143,pacific
144,pacific
145,pacific
146,pacific
147,pacific
148,pacific
149,pacific
150,pacific
151,pacific
152,pacific
153,pacific
154,pacific
155,pacific
156,pacific
157,pacific
158,pacific
159,pacific
160,pacific
161,pacific
162,pacific
163,pacific
164,pacific
165,pacific
166,pacific
167,pacific
168,pacific
169,pacific
170,pacific
171,pacific
172,pacific
173,pacific
174,pacific
175,pacific
176,pacific
177,pacific
178,pacific
179,pacific
180,pacific
181,pacific
182,pacific
183,pacific
184,pacific
185,pacific
186,pacific
187,pacific
188,pacific
189,pacific
190,pacific
191,pacific
192,pacific
193,pacific
194,pacific
195,pacific
196,pacific
197,pacific
198,pacific
199,pacific
200,pacific
201,pacific
202,pacific
203,pacific
204,pacific
205,pacific
206,pacific
207,pacific
208,pacific
209,pacific
210,pacific
211,pacific
212,pacific
