,ocean
0,atlantic
1,atlantic
2,atlantic
3,atlantic
4,atlantic
5,atlantic
6,atlantic
7,atlantic
8,atlantic
9,atlantic
10,atlantic
11,atlantic
12,atlantic
13,atlantic
14,atlantic
15,atlantic
16,atlantic
17,atlantic
18,atlantic
19,atlantic
20,atlantic
21,atlantic
22,atlantic
23,atlantic
24,atlantic
25,atlantic
26,southern
27,atlantic
28,atlantic
29,atlantic
30,atlantic
31,atlantic
32,atlantic
33,atlantic
34,mediterranean
35,atlantic
36,arctic
37,arctic
38,arctic
39,arctic
40,arctic
41,atlantic
42,southern
43,southern
44,southern
45,arctic
46,pacific
47,pacific
48,pacific
49,pacific
50,pacific
51,pacific
52,pacific
53,arctic
54,pacific
55,arctic
56,arctic
57,pacific
58,pacific
59,arctic
60,arctic
61,pacific
62,arctic
63,arctic
64,FALSE
65,FALSE
66,FALSE
67,pacific
68,atlantic
69,atlantic
70,atlantic
71,arctic
72,atlantic
73,atlantic
74,atlantic
75,FALSE
76,FALSE
77,FALSE
78,pacific
79,FALSE
80,pacific
81,pacific
82,FALSE
83,FALSE
84,FALSE
85,FALSE
86,FALSE
87,FALSE
88,atlantic
89,atlantic
90,atlantic
91,pacific
92,FALSE
93,FALSE
94,FALSE
95,FALSE
96,FALSE
97,FALSE
98,pacific
99,FALSE
100,FALSE
101,FALSE
102,FALSE
103,FALSE
104,FALSE
105,atlantic
106,atlantic
107,atlantic
108,atlantic
109,FALSE
110,FALSE
111,FALSE
112,FALSE
113,FALSE
114,FALSE
115,FALSE
116,FALSE
117,atlantic
118,atlantic
119,atlantic
120,atlantic
121,atlantic
122,atlantic
123,atlantic
124,indian
125,pacific
126,atlantic
127,pacific
128,indian
129,pacific
130,FALSE
131,pacific
132,pacific
133,pacific
134,pacific
135,pacific
136,pacific
137,pacific
138,pacific
139,pacific
140,indian
141,pacific
142,southern
143,atlantic
144,FALSE
145,atlantic
146,indian
147,indian
148,indian
149,indian
150,indian
151,indian
152,indian
153,indian
154,indian
155,indian
156,southern
157,pacific
158,pacific
159,atlantic
160,atlantic
161,atlantic
162,indian
163,atlantic
164,indian
165,indian
166,atlantic
167,atlantic
168,atlantic
169,atlantic
170,atlantic
171,atlantic
172,atlantic
173,indian
174,indian
175,indian
176,indian
177,indian
178,indian
179,southern
180,pacific
181,atlantic
182,atlantic
183,atlantic
184,atlantic
185,FALSE
186,pacific
187,FALSE
188,atlantic
189,atlantic
190,atlantic
191,atlantic
192,atlantic
193,atlantic
194,atlantic
195,atlantic
196,atlantic
197,atlantic
198,atlantic
199,atlantic
200,atlantic
201,atlantic
202,atlantic
203,atlantic
204,atlantic
205,atlantic
206,atlantic
207,atlantic
208,atlantic
209,atlantic
210,atlantic
211,atlantic
212,atlantic
213,atlantic
214,atlantic
215,atlantic
216,atlantic
217,atlantic
218,atlantic
219,atlantic
220,atlantic
221,atlantic
222,atlantic
223,atlantic
224,arctic
225,arctic
226,arctic
227,arctic
228,arctic
229,arctic
230,arctic
231,arctic
232,atlantic
233,arctic
234,arctic
235,atlantic
236,arctic
237,atlantic
238,atlantic
239,pacific
240,pacific
241,pacific
242,pacific
243,pacific
244,pacific
245,pacific
246,arctic
247,pacific
248,pacific
249,pacific
250,FALSE
251,FALSE
252,atlantic
253,atlantic
254,FALSE
255,FALSE
256,FALSE
257,atlantic
258,atlantic
259,FALSE
260,FALSE
261,FALSE
262,FALSE
263,FALSE
264,FALSE
265,FALSE
266,FALSE
267,atlantic
268,FALSE
269,FALSE
270,FALSE
271,FALSE
272,pacific
273,pacific
274,FALSE
275,FALSE
276,FALSE
277,FALSE
278,pacific
279,FALSE
280,pacific
281,FALSE
282,FALSE
283,FALSE
284,FALSE
285,pacific
286,FALSE
287,FALSE
288,FALSE
289,FALSE
290,FALSE
291,FALSE
292,FALSE
293,FALSE
294,FALSE
295,FALSE
296,FALSE
297,atlantic
298,FALSE
299,FALSE
300,atlantic
301,atlantic
302,atlantic
303,atlantic
304,atlantic
305,atlantic
306,atlantic
307,atlantic
308,pacific
309,pacific
310,pacific
311,FALSE
312,pacific
313,pacific
314,pacific
315,FALSE
316,pacific
317,pacific
318,pacific
319,pacific
320,pacific
321,pacific
322,pacific
323,FALSE
324,pacific
325,southern
326,atlantic
327,southern
328,FALSE
329,atlantic
330,atlantic
331,pacific
332,indian
333,indian
334,indian
335,indian
336,indian
337,indian
338,indian
339,indian
340,indian
341,indian
342,pacific
343,southern
344,southern
345,southern
346,pacific
347,indian
348,indian
349,atlantic
350,atlantic
351,atlantic
352,atlantic
353,atlantic
354,atlantic
355,atlantic
356,atlantic
357,atlantic
358,atlantic
359,atlantic
360,atlantic
361,atlantic
362,atlantic
363,atlantic
364,atlantic
365,atlantic
366,indian
367,indian
368,indian
369,indian
370,indian
371,atlantic
372,atlantic
373,pacific
374,atlantic
375,atlantic
376,pacific
377,indian
378,atlantic
379,atlantic
380,atlantic
381,atlantic
382,atlantic
383,atlantic
384,atlantic
385,atlantic
386,atlantic
387,atlantic
388,atlantic
389,atlantic
390,atlantic
391,atlantic
392,atlantic
393,atlantic
394,atlantic
395,atlantic
396,atlantic
397,atlantic
398,atlantic
399,atlantic
400,atlantic
401,atlantic
402,atlantic
403,atlantic
404,atlantic
405,atlantic
406,mediterranean
407,arctic
408,arctic
409,arctic
410,arctic
411,arctic
412,arctic
413,arctic
414,arctic
415,arctic
416,arctic
417,arctic
418,atlantic
419,atlantic
420,pacific
421,pacific
422,pacific
423,pacific
424,pacific
425,pacific
426,southern
427,pacific
428,pacific
429,pacific
430,pacific
431,pacific
432,pacific
433,pacific
434,pacific
435,arctic
436,arctic
437,arctic
438,indian
439,FALSE
440,FALSE
441,FALSE
442,arctic
443,atlantic
444,FALSE
445,atlantic
446,pacific
447,FALSE
448,atlantic
449,atlantic
450,atlantic
451,atlantic
452,atlantic
453,atlantic
454,FALSE
455,FALSE
456,FALSE
457,atlantic
458,FALSE
459,FALSE
460,FALSE
461,atlantic
462,FALSE
463,atlantic
464,FALSE
465,atlantic
466,atlantic
467,FALSE
468,FALSE
469,FALSE
470,FALSE
471,FALSE
472,FALSE
473,FALSE
474,FALSE
475,FALSE
476,FALSE
477,pacific
478,FALSE
479,FALSE
480,atlantic
481,FALSE
482,FALSE
483,FALSE
484,FALSE
485,atlantic
486,atlantic
487,atlantic
488,atlantic
489,pacific
490,pacific
491,pacific
492,indian
493,indian
494,pacific
495,pacific
496,pacific
497,pacific
498,pacific
499,pacific
500,pacific
501,pacific
502,atlantic
503,atlantic
504,atlantic
505,atlantic
506,atlantic
507,atlantic
508,pacific
509,pacific
510,indian
511,indian
512,indian
513,indian
514,indian
515,indian
516,FALSE
517,pacific
518,indian
519,atlantic
520,atlantic
521,atlantic
522,atlantic
523,indian
524,atlantic
525,indian
526,indian
527,indian
528,indian
529,indian
530,indian
531,indian
532,indian
533,atlantic
534,southern
535,southern
536,atlantic
537,atlantic
538,atlantic
539,indian
540,atlantic
541,atlantic
542,atlantic
543,atlantic
544,atlantic
545,atlantic
546,atlantic
547,atlantic
548,atlantic
549,atlantic
550,atlantic
551,atlantic
552,atlantic
553,atlantic
554,atlantic
555,atlantic
556,atlantic
557,atlantic
558,atlantic
559,atlantic
560,atlantic
561,atlantic
562,atlantic
563,atlantic
564,atlantic
565,atlantic
566,atlantic
567,atlantic
568,atlantic
569,atlantic
570,atlantic
571,atlantic
572,atlantic
573,atlantic
574,atlantic
575,FALSE
576,atlantic
577,atlantic
578,atlantic
579,arctic
580,arctic
581,arctic
582,arctic
583,southern
584,arctic
585,arctic
586,arctic
587,atlantic
588,atlantic
589,southern
590,pacific
591,pacific
592,pacific
593,pacific
594,pacific
595,pacific
596,pacific
597,pacific
598,pacific
599,pacific
600,pacific
601,FALSE
602,FALSE
603,FALSE
604,atlantic
605,FALSE
606,atlantic
607,FALSE
608,pacific
609,FALSE
610,atlantic
611,atlantic
612,atlantic
613,FALSE
614,FALSE
615,FALSE
616,FALSE
617,FALSE
618,FALSE
619,atlantic
620,atlantic
621,atlantic
622,atlantic
623,FALSE
624,FALSE
625,FALSE
626,FALSE
627,FALSE
628,FALSE
629,FALSE
630,atlantic
631,FALSE
632,FALSE
633,FALSE
634,pacific
635,FALSE
636,pacific
637,FALSE
638,FALSE
639,atlantic
640,FALSE
641,FALSE
642,FALSE
643,FALSE
644,FALSE
645,FALSE
646,FALSE
647,indian
648,atlantic
649,atlantic
650,pacific
651,atlantic
652,atlantic
653,atlantic
654,atlantic
655,indian
656,pacific
657,atlantic
658,pacific
659,pacific
660,pacific
661,pacific
662,pacific
663,pacific
664,pacific
665,pacific
666,pacific
667,pacific
668,indian
669,atlantic
670,atlantic
671,pacific
672,indian
673,pacific
674,indian
675,indian
676,indian
677,indian
678,indian
679,indian
680,indian
681,indian
682,indian
683,indian
684,indian
685,pacific
686,pacific
687,atlantic
688,atlantic
689,atlantic
690,atlantic
691,atlantic
692,atlantic
693,atlantic
694,atlantic
695,indian
696,atlantic
697,atlantic
698,atlantic
699,atlantic
700,indian
701,indian
702,indian
703,indian
704,indian
705,indian
706,indian
707,atlantic
708,atlantic
709,atlantic
710,southern
711,atlantic
712,pacific
713,FALSE
714,FALSE
715,FALSE
716,atlantic
717,atlantic
718,atlantic
719,atlantic
720,atlantic
721,atlantic
722,atlantic
