,ocean
0,pacific
1,false
2,pacific
3,pacific
4,pacific
5,pacific
6,pacific
7,pacific
8,pacific
9,false
10,false
11,pacific
12,pacific
13,false
14,false
15,false
16,indian
17,indian
18,indian
19,pacific
20,pacific
21,pacific
22,false
23,pacific
24,false
25,pacific
26,false
27,pacific
28,indian
29,indian
30,indian
31,indian
32,pacific
33,pacific
34,pacific
35,pacific
36,pacific
37,pacific
38,pacific
39,pacific
40,pacific
41,pacific
42,pacific
43,pacific
44,pacific
45,pacific
46,indian
47,pacific
48,indian
49,pacific
50,pacific
51,indian
52,indian
53,indian
54,pacific
55,pacific
56,indian
57,pacific
58,pacific
59,false
60,pacific
61,indian
62,indian
63,false
64,pacific
65,pacific
66,indian
67,indian
68,false
69,pacific
70,indian
71,indian
72,false
73,pacific
74,pacific
75,pacific
76,pacific
77,indian
78,indian
79,pacific
80,pacific
81,false
82,pacific
83,pacific
84,indian
85,indian
86,pacific
87,pacific
88,pacific
89,indian
90,indian
91,pacific
92,false
93,false
94,false
95,false
96,pacific
97,indian
98,indian
99,indian
100,indian
101,indian
102,indian
103,indian
104,indian
105,indian
106,pacific
107,indian
108,indian
109,indian
110,pacific
111,pacific
112,pacific
113,false
114,indian
115,indian
116,indian
117,indian
118,false
119,indian
120,pacific
121,indian
122,false
123,indian
124,indian
125,indian
126,atlantic
127,indian
128,indian
129,indian
130,indian
131,indian
132,false
133,false
134,indian
135,indian
136,indian
137,indian
138,indian
139,indian
140,indian
141,indian
142,indian
143,indian
144,false
145,false
146,indian
147,indian
148,false
149,false
150,atlantic
151,atlantic
152,atlantic
153,pacific
154,false
155,pacific
156,pacific
157,atlantic
158,indian
159,indian
160,indian
161,atlantic
162,atlantic
163,atlantic
164,atlantic
165,atlantic
166,false
167,indian
168,indian
169,indian
170,indian
171,false
172,indian
173,pacific
174,atlantic
175,indian
176,indian
177,indian
178,indian
179,indian
180,indian
181,false
182,false
183,atlantic
184,atlantic
185,false
186,pacific
187,indian
188,pacific
189,pacific
190,false
191,false
192,pacific
193,pacific
194,pacific
195,false
196,false
197,false
198,indian
199,indian
200,pacific
201,indian
202,pacific
203,false
204,false
205,false
206,false
207,pacific
208,pacific
209,pacific
210,pacific
211,indian
212,pacific
213,false
214,false
215,indian
