,oceans_list
13782,Pacific
13783,Atlantic
13784,Pacific
13785,Pacific
13786,Pacific
13787,Atlantic
13788,Atlantic
13789,Atlantic
13790,Atlantic
13791,Pacific
13792,Pacific
13793,Atlantic
13794,Atlantic
13795,Pacific
13796,Atlantic
13797,Pacific
13798,Atlantic
13799,Pacific
13800,Pacific
13801,Atlantic
13802,Pacific
13803,Atlantic
13804,Pacific
13805,Pacific
13806,Atlantic
13807,Pacific
13808,Atlantic
13809,Atlantic
13810,Pacific
13811,Pacific
13812,Pacific
13813,Atlantic
13814,Pacific
13815,Pacific
13816,Pacific
13817,Atlantic
13818,Atlantic
13819,Pacific
13820,Pacific
13821,Pacific
13822,Pacific
13823,Pacific
13824,Pacific
13825,Atlantic
13826,Pacific
13827,Pacific
13828,Pacific
13829,Pacific
13830,Pacific
13831,Pacific
13832,Atlantic
13833,Pacific
13834,Pacific
13835,Pacific
13836,Atlantic
13837,Pacific
13838,Pacific
13839,Pacific
13840,Pacific
13841,Pacific
13842,Pacific
13843,Pacific
13844,Pacific
13845,Pacific
13846,Pacific
13847,Pacific
13848,Atlantic
13849,Pacific
13850,Pacific
13851,Pacific
13852,Pacific
13853,Pacific
13854,Pacific
13855,Atlantic
13856,Atlantic
13857,Atlantic
13858,Atlantic
13859,Atlantic
13860,Atlantic
13861,Pacific
13862,Pacific
13863,Pacific
13864,Pacific
13865,Pacific
13866,Atlantic
13867,Atlantic
13868,Atlantic
13869,False
13870,Pacific
13871,Pacific
13872,Pacific
13873,Atlantic
13874,Pacific
13875,Pacific
13876,Pacific
13877,Pacific
13878,Atlantic
13879,Pacific
13880,Pacific
13881,Pacific
13882,Pacific
13883,Pacific
13884,Atlantic
13885,Pacific
13886,Pacific
13887,Pacific
13888,Pacific
13889,Pacific
13890,Pacific
13891,Pacific
13892,Pacific
13893,Pacific
13894,Pacific
13895,Pacific
13896,Pacific
13897,Pacific
13898,Pacific
13899,Pacific
13900,Pacific
13901,Pacific
13902,Pacific
13903,Pacific
13904,Pacific
13905,Pacific
13906,Pacific
13907,Pacific
13908,Pacific
13909,Pacific
13910,Pacific
13911,Pacific
13912,Pacific
13913,Atlantic
13914,Pacific
13915,Atlantic
13916,Pacific
13917,Pacific
13918,Pacific
13919,Pacific
13920,Pacific
13921,Pacific
13922,Pacific
13923,Pacific
13924,Pacific
13925,Pacific
13926,Pacific
13927,Pacific
13928,Atlantic
13929,Pacific
13930,Atlantic
13931,Pacific
13932,Pacific
13933,Pacific
13934,Pacific
13935,Pacific
13936,Pacific
13937,Pacific
13938,Pacific
13939,Pacific
13940,Pacific
13941,Pacific
13942,Pacific
13943,Pacific
13944,Pacific
13945,Pacific
13946,Pacific
13947,Pacific
13948,Pacific
13949,Pacific
13950,Atlantic
13951,Atlantic
13952,Atlantic
13953,Atlantic
13954,Pacific
13955,Pacific
13956,Pacific
13957,Pacific
13958,Pacific
13959,Pacific
13960,Pacific
13961,Pacific
13962,Pacific
13963,Pacific
13964,Pacific
13965,Pacific
13966,Pacific
13967,Pacific
13968,Pacific
13969,Pacific
13970,Pacific
13971,Atlantic
13972,Atlantic
13973,Pacific
13974,Pacific
13975,Pacific
13976,Pacific
13977,Pacific
13978,Atlantic
13979,Pacific
13980,Pacific
13981,Pacific
13982,Pacific
13983,Pacific
13984,Pacific
13985,Pacific
13986,Pacific
13987,Pacific
13988,Pacific
13989,Pacific
13990,Pacific
13991,Atlantic
13992,Pacific
13993,Pacific
13994,Pacific
13995,Pacific
13996,Pacific
13997,Pacific
13998,Pacific
13999,Pacific
14000,Pacific
14001,Pacific
14002,Pacific
14003,Pacific
14004,Pacific
14005,Pacific
14006,Pacific
14007,Pacific
14008,Pacific
14009,Pacific
14010,Pacific
14011,Pacific
14012,Pacific
14013,Pacific
14014,Pacific
14015,Pacific
14016,Pacific
14017,Pacific
14018,Atlantic
14019,Pacific
14020,Atlantic
14021,Pacific
14022,Pacific
14023,Pacific
14024,Pacific
14025,Atlantic
14026,Pacific
14027,Pacific
14028,Pacific
14029,Pacific
14030,Pacific
14031,Pacific
14032,Pacific
14033,Pacific
14034,Pacific
14035,Pacific
14036,Pacific
14037,Pacific
14038,Pacific
14039,Atlantic
14040,Pacific
14041,Atlantic
14042,Pacific
14043,Pacific
14044,Pacific
14045,Atlantic
14046,Pacific
14047,Pacific
14048,Pacific
14049,Pacific
14050,Atlantic
14051,Pacific
14052,Pacific
14053,Pacific
14054,Pacific
14055,Pacific
14056,Pacific
14057,Pacific
14058,Pacific
14059,Pacific
14060,Pacific
14061,Pacific
14062,Pacific
14063,Pacific
14064,Pacific
14065,Pacific
14066,Atlantic
14067,Pacific
14068,Pacific
14069,Pacific
14070,Pacific
14071,Pacific
14072,Pacific
14073,Pacific
14074,Pacific
14075,Pacific
14076,Pacific
14077,Pacific
14078,Pacific
14079,Pacific
14080,Pacific
14081,Pacific
14082,Pacific
14083,Pacific
14084,Pacific
14085,Pacific
14086,Pacific
14087,Pacific
14088,Pacific
14089,Pacific
14090,Pacific
14091,Pacific
14092,Pacific
14093,Pacific
14094,Pacific
14095,Pacific
14096,Pacific
14097,Pacific
14098,Pacific
14099,Pacific
14100,Pacific
14101,Pacific
14102,Pacific
14103,Pacific
14104,Pacific
14105,Pacific
14106,Pacific
14107,Pacific
14108,Pacific
14109,Pacific
14110,Pacific
14111,Pacific
14112,Pacific
14113,Pacific
14114,Pacific
14115,Pacific
14116,Pacific
14117,Pacific
14118,Pacific
14119,Pacific
14120,Pacific
14121,Pacific
14122,Pacific
14123,Pacific
14124,Pacific
14125,Pacific
14126,Pacific
14127,Atlantic
14128,Pacific
14129,Pacific
14130,Atlantic
14131,Atlantic
14132,Atlantic
14133,Pacific
14134,Pacific
14135,Pacific
14136,Pacific
14137,Pacific
14138,Pacific
14139,Pacific
14140,Pacific
14141,Pacific
14142,Atlantic
14143,Atlantic
14144,Pacific
14145,False
14146,Pacific
14147,Pacific
14148,Atlantic
14149,Atlantic
14150,Atlantic
14151,Pacific
14152,Atlantic
14153,Pacific
14154,Atlantic
14155,Atlantic
14156,Pacific
14157,Atlantic
14158,Atlantic
14159,Atlantic
14160,Atlantic
14161,Atlantic
14162,Atlantic
14163,Pacific
14164,Pacific
14165,Pacific
14166,Pacific
14167,Pacific
14168,Pacific
14169,Pacific
14170,Pacific
14171,Pacific
14172,Pacific
14173,Pacific
14174,Pacific
14175,Pacific
14176,Pacific
14177,Pacific
14178,Pacific
14179,Pacific
14180,Pacific
14181,Pacific
14182,Pacific
14183,Pacific
14184,Pacific
14185,Atlantic
14186,Atlantic
14187,Atlantic
14188,Atlantic
14189,Pacific
14190,Pacific
14191,Pacific
14192,Pacific
14193,Pacific
14194,Pacific
14195,Pacific
14196,Atlantic
14197,Pacific
14198,Atlantic
14199,Atlantic
14200,Pacific
14201,Atlantic
14202,Atlantic
14203,Pacific
14204,Pacific
14205,Pacific
14206,Pacific
14207,Pacific
14208,Pacific
14209,Atlantic
14210,Atlantic
14211,Pacific
14212,Pacific
14213,Pacific
14214,Atlantic
14215,Pacific
14216,Atlantic
14217,Atlantic
14218,Atlantic
14219,Pacific
14220,Atlantic
14221,Atlantic
14222,Atlantic
14223,Pacific
14224,Atlantic
14225,Atlantic
14226,Atlantic
14227,Atlantic
14228,Atlantic
14229,Atlantic
14230,Atlantic
14231,Pacific
14232,Atlantic
14233,Pacific
14234,Atlantic
14235,Atlantic
14236,Atlantic
14237,Atlantic
14238,Atlantic
14239,Pacific
14240,Atlantic
14241,Pacific
14242,Pacific
14243,Pacific
14244,Pacific
14245,Pacific
14246,Pacific
14247,Atlantic
14248,Atlantic
14249,Pacific
14250,Pacific
14251,Atlantic
14252,Atlantic
14253,Atlantic
14254,Pacific
14255,Atlantic
14256,Pacific
14257,Pacific
14258,Pacific
14259,Atlantic
14260,Atlantic
14261,Atlantic
14262,Pacific
14263,Pacific
14264,Pacific
14265,Pacific
14266,Atlantic
14267,Atlantic
14268,Atlantic
14269,Pacific
14270,Atlantic
14271,Pacific
14272,Pacific
14273,Pacific
14274,Atlantic
14275,Pacific
14276,Pacific
14277,Pacific
14278,Atlantic
14279,Pacific
14280,Pacific
14281,Atlantic
14282,Atlantic
14283,Atlantic
14284,Atlantic
14285,Atlantic
14286,Atlantic
14287,Atlantic
14288,Indian
14289,Pacific
14290,Atlantic
14291,Pacific
14292,Pacific
14293,Pacific
14294,Pacific
14295,Atlantic
14296,Pacific
14297,Pacific
14298,Atlantic
14299,Atlantic
14300,Atlantic
14301,Pacific
14302,Atlantic
14303,Atlantic
14304,Atlantic
14305,Pacific
14306,Pacific
14307,Atlantic
14308,Atlantic
14309,Atlantic
14310,Pacific
14311,Pacific
14312,Pacific
14313,Pacific
14314,Atlantic
14315,Atlantic
14316,Pacific
14317,Pacific
14318,Atlantic
14319,Atlantic
14320,Pacific
14321,Atlantic
14322,Pacific
14323,Pacific
14324,Pacific
14325,Pacific
14326,Pacific
14327,Pacific
14328,Pacific
14329,Pacific
14330,Pacific
14331,Pacific
14332,Atlantic
14333,Atlantic
14334,Pacific
14335,Atlantic
14336,Pacific
14337,Atlantic
14338,Atlantic
14339,Atlantic
14340,Pacific
14341,Pacific
14342,Pacific
14343,Pacific
14344,Pacific
14345,Atlantic
14346,Atlantic
14347,Pacific
14348,Pacific
14349,Atlantic
14350,Pacific
14351,Pacific
14352,Pacific
14353,Pacific
14354,Atlantic
14355,Pacific
14356,Pacific
14357,Pacific
14358,Pacific
14359,Pacific
14360,Atlantic
14361,Pacific
14362,Atlantic
14363,Pacific
14364,Pacific
14365,Pacific
14366,Pacific
14367,Pacific
14368,Pacific
14369,Pacific
14370,Pacific
14371,Atlantic
14372,False
14373,Pacific
14374,Pacific
14375,Pacific
14376,Pacific
14377,Pacific
14378,Pacific
14379,Pacific
14380,Pacific
14381,Pacific
14382,Pacific
14383,Pacific
14384,Atlantic
14385,Pacific
14386,Atlantic
14387,Pacific
14388,Pacific
14389,Pacific
14390,Atlantic
14391,Pacific
14392,Atlantic
14393,Pacific
14394,Pacific
14395,Pacific
14396,Pacific
14397,Pacific
14398,Pacific
14399,Pacific
14400,Atlantic
14401,Pacific
14402,Pacific
14403,Pacific
14404,Pacific
14405,Pacific
14406,Pacific
14407,Pacific
14408,Pacific
14409,Pacific
14410,Pacific
14411,Pacific
14412,Pacific
14413,Pacific
14414,Pacific
14415,Pacific
14416,Pacific
14417,Pacific
14418,Pacific
14419,Pacific
14420,Pacific
14421,Pacific
14422,Pacific
14423,Pacific
14424,Pacific
14425,Pacific
14426,Pacific
14427,Pacific
14428,Pacific
14429,Pacific
14430,Pacific
14431,Pacific
14432,Pacific
14433,Pacific
14434,Pacific
14435,Pacific
14436,Pacific
14437,Pacific
14438,Pacific
14439,Pacific
14440,Pacific
14441,Pacific
14442,Pacific
14443,Pacific
14444,Atlantic
14445,Atlantic
14446,Atlantic
14447,Atlantic
14448,Atlantic
14449,Pacific
14450,Pacific
14451,Atlantic
14452,Pacific
14453,Atlantic
14454,Atlantic
14455,Atlantic
14456,Atlantic
14457,Pacific
14458,Atlantic
14459,Pacific
14460,Pacific
14461,Pacific
14462,Pacific
14463,Pacific
14464,Pacific
14465,Pacific
14466,Pacific
14467,Pacific
14468,Atlantic
14469,Atlantic
14470,Pacific
14471,Atlantic
14472,Pacific
14473,Pacific
14474,Pacific
14475,Pacific
14476,Pacific
14477,Pacific
14478,Pacific
14479,Pacific
14480,Pacific
14481,Pacific
14482,Pacific
14483,Pacific
14484,Atlantic
14485,Atlantic
14486,Pacific
14487,Pacific
14488,Pacific
14489,Atlantic
14490,Pacific
14491,Pacific
14492,Pacific
14493,Pacific
14494,Atlantic
14495,Pacific
14496,Atlantic
14497,Atlantic
14498,Pacific
14499,Atlantic
14500,Atlantic
14501,Atlantic
14502,Atlantic
14503,Atlantic
14504,Atlantic
14505,Pacific
14506,Pacific
14507,Atlantic
14508,Pacific
14509,Pacific
14510,Atlantic
14511,Atlantic
14512,Atlantic
14513,Pacific
14514,Pacific
14515,Atlantic
14516,Pacific
14517,Pacific
14518,Pacific
14519,Pacific
14520,Pacific
14521,Atlantic
14522,Pacific
14523,Atlantic
14524,Pacific
14525,Pacific
14526,Pacific
14527,Pacific
14528,Pacific
14529,Atlantic
14530,Pacific
14531,Pacific
14532,Pacific
14533,Pacific
14534,Pacific
14535,Pacific
14536,Pacific
14537,Atlantic
14538,Pacific
14539,Pacific
14540,Atlantic
14541,Atlantic
14542,Atlantic
14543,Atlantic
14544,Pacific
14545,Pacific
14546,Pacific
14547,Pacific
14548,Pacific
14549,Pacific
14550,Pacific
14551,Pacific
14552,Pacific
14553,Atlantic
14554,Atlantic
14555,Atlantic
14556,Pacific
14557,Pacific
14558,Atlantic
14559,False
14560,Pacific
14561,Pacific
14562,Pacific
14563,Pacific
14564,Pacific
14565,Pacific
14566,Pacific
14567,Pacific
14568,Pacific
14569,Atlantic
14570,Pacific
14571,Pacific
14572,Pacific
14573,Pacific
14574,Pacific
14575,Pacific
14576,Pacific
14577,Pacific
14578,Atlantic
14579,Pacific
14580,Atlantic
14581,Pacific
14582,Pacific
14583,Pacific
14584,Pacific
14585,Pacific
14586,Pacific
14587,Pacific
14588,Pacific
14589,Pacific
14590,Pacific
14591,Pacific
14592,Pacific
14593,Pacific
14594,Pacific
14595,Pacific
14596,Pacific
14597,Pacific
14598,Pacific
14599,Pacific
14600,Pacific
14601,Atlantic
14602,Atlantic
14603,Pacific
14604,Pacific
14605,Pacific
14606,Pacific
14607,Atlantic
14608,Pacific
14609,Pacific
14610,Pacific
14611,Pacific
14612,Pacific
14613,Pacific
14614,Pacific
14615,Pacific
14616,Pacific
14617,Pacific
14618,Pacific
14619,Pacific
14620,Atlantic
14621,Pacific
14622,Pacific
14623,Pacific
14624,Pacific
14625,Pacific
14626,Pacific
14627,Pacific
14628,Pacific
14629,Pacific
14630,Pacific
14631,Pacific
14632,Pacific
14633,Pacific
14634,Indian
14635,Pacific
14636,Pacific
14637,Atlantic
14638,Pacific
14639,Pacific
14640,Pacific
14641,Pacific
14642,Pacific
14643,Pacific
14644,Pacific
14645,Pacific
14646,Pacific
14647,Pacific
14648,Pacific
14649,Pacific
14650,Pacific
14651,Pacific
14652,Pacific
14653,Pacific
14654,Pacific
14655,Pacific
14656,Pacific
14657,Pacific
14658,Pacific
14659,Pacific
14660,Pacific
14661,Pacific
14662,Pacific
14663,Pacific
14664,Pacific
14665,Pacific
14666,Pacific
14667,Pacific
14668,Atlantic
14669,Pacific
14670,Pacific
14671,Pacific
14672,Pacific
14673,Atlantic
14674,Pacific
14675,Pacific
14676,Pacific
14677,Pacific
14678,Pacific
14679,Pacific
14680,Pacific
14681,Pacific
14682,Pacific
14683,Pacific
14684,Pacific
14685,Pacific
14686,Pacific
14687,Pacific
14688,Pacific
14689,Pacific
14690,Pacific
14691,Pacific
14692,Pacific
14693,Pacific
14694,Pacific
14695,Pacific
14696,Pacific
14697,Pacific
14698,Pacific
14699,Pacific
14700,Pacific
14701,Pacific
14702,Pacific
14703,Atlantic
14704,Pacific
14705,Pacific
14706,Pacific
14707,Indian
14708,Pacific
14709,Atlantic
14710,Pacific
14711,Pacific
14712,Pacific
14713,Pacific
14714,Pacific
14715,Pacific
14716,Pacific
14717,Pacific
14718,Pacific
14719,Pacific
14720,Pacific
14721,Pacific
14722,Pacific
14723,Pacific
14724,Pacific
14725,Pacific
14726,Pacific
14727,Pacific
14728,Pacific
14729,Pacific
14730,Pacific
14731,Pacific
14732,Pacific
14733,Pacific
14734,Atlantic
14735,Pacific
14736,Pacific
14737,Pacific
14738,Atlantic
14739,Atlantic
14740,Pacific
14741,Atlantic
14742,Pacific
14743,Pacific
14744,Pacific
14745,Pacific
14746,Pacific
14747,Pacific
14748,Pacific
14749,Pacific
14750,Pacific
14751,Pacific
14752,Pacific
14753,Pacific
14754,Pacific
14755,Pacific
14756,Pacific
14757,Pacific
14758,Pacific
14759,Pacific
14760,Pacific
14761,Pacific
14762,Pacific
14763,Pacific
14764,Pacific
14765,Pacific
14766,Pacific
14767,Pacific
14768,Pacific
14769,Pacific
14770,Pacific
14771,Pacific
14772,Atlantic
14773,Pacific
14774,Pacific
14775,Pacific
14776,Pacific
14777,Pacific
14778,Pacific
14779,Atlantic
14780,Pacific
14781,Pacific
14782,Atlantic
14783,Pacific
14784,Pacific
14785,Pacific
14786,Pacific
14787,Pacific
14788,Pacific
14789,Atlantic
14790,Pacific
14791,Pacific
14792,Pacific
14793,Pacific
14794,Pacific
14795,Pacific
14796,Pacific
14797,Pacific
14798,Pacific
14799,Pacific
14800,Pacific
14801,Pacific
14802,Pacific
14803,Pacific
14804,Pacific
14805,Pacific
14806,Pacific
14807,Pacific
14808,Pacific
14809,Pacific
14810,Pacific
14811,Pacific
14812,Pacific
14813,Pacific
14814,Pacific
14815,Pacific
14816,Atlantic
14817,Pacific
14818,Pacific
14819,Pacific
14820,Pacific
14821,Pacific
14822,Pacific
14823,Pacific
14824,Pacific
14825,Pacific
14826,Pacific
14827,Pacific
14828,Pacific
14829,Pacific
14830,Pacific
14831,Pacific
14832,Pacific
14833,Pacific
14834,Pacific
14835,Pacific
14836,Pacific
14837,Atlantic
14838,Pacific
14839,Pacific
14840,Pacific
14841,Atlantic
14842,Pacific
14843,Pacific
14844,Atlantic
14845,Pacific
14846,Pacific
14847,Pacific
14848,Pacific
14849,Pacific
14850,Pacific
14851,Pacific
14852,Pacific
14853,Pacific
14854,Pacific
14855,Pacific
14856,Pacific
14857,Atlantic
14858,Pacific
14859,Atlantic
14860,Pacific
14861,Pacific
14862,Pacific
14863,Pacific
14864,Pacific
14865,Pacific
14866,False
14867,False
14868,Atlantic
14869,Atlantic
14870,Atlantic
14871,Pacific
14872,Pacific
14873,Atlantic
14874,Atlantic
14875,Pacific
14876,Pacific
14877,Pacific
14878,Pacific
14879,Pacific
14880,Pacific
14881,Pacific
14882,Pacific
14883,Pacific
14884,Pacific
14885,Pacific
14886,Pacific
14887,Atlantic
14888,Pacific
14889,Pacific
14890,Pacific
14891,Atlantic
14892,Atlantic
14893,Atlantic
14894,Pacific
14895,Pacific
14896,Pacific
14897,Atlantic
14898,Atlantic
14899,Atlantic
14900,Atlantic
14901,Pacific
14902,Atlantic
14903,Atlantic
14904,Atlantic
14905,Atlantic
14906,Pacific
14907,Pacific
14908,Pacific
14909,Atlantic
14910,Pacific
14911,Pacific
14912,Atlantic
14913,Atlantic
14914,Pacific
14915,Atlantic
14916,Pacific
14917,Atlantic
14918,Pacific
14919,Pacific
14920,Pacific
14921,Atlantic
14922,Pacific
14923,Atlantic
14924,Atlantic
14925,Atlantic
14926,Atlantic
14927,Atlantic
14928,Atlantic
14929,Atlantic
14930,Atlantic
14931,Pacific
14932,Atlantic
14933,Pacific
14934,Atlantic
14935,Atlantic
14936,Pacific
14937,Pacific
14938,Atlantic
14939,Pacific
14940,Pacific
14941,Pacific
14942,Pacific
14943,Atlantic
14944,Pacific
14945,Pacific
14946,Pacific
14947,Atlantic
14948,Atlantic
14949,Atlantic
14950,Pacific
14951,Pacific
14952,Atlantic
14953,Atlantic
14954,Indian
14955,Atlantic
14956,Pacific
14957,Atlantic
14958,Pacific
14959,Pacific
14960,Pacific
14961,Atlantic
14962,Pacific
14963,Pacific
14964,Pacific
14965,Pacific
14966,Pacific
14967,Atlantic
14968,Pacific
14969,Pacific
14970,Atlantic
14971,Pacific
14972,Atlantic
14973,Pacific
14974,Atlantic
14975,Pacific
14976,Pacific
14977,Pacific
14978,Pacific
14979,Pacific
14980,Pacific
14981,Pacific
14982,Pacific
14983,Pacific
14984,Atlantic
14985,Pacific
14986,Pacific
14987,Pacific
14988,Pacific
14989,Pacific
14990,Pacific
14991,Pacific
14992,Pacific
14993,Pacific
14994,Pacific
14995,Atlantic
14996,Pacific
14997,Atlantic
14998,Pacific
14999,Atlantic
15000,Atlantic
15001,Indian
15002,Indian
15003,Pacific
15004,Pacific
15005,Pacific
15006,Atlantic
15007,Atlantic
15008,Pacific
15009,Pacific
15010,Pacific
15011,Pacific
15012,Atlantic
15013,Atlantic
15014,Pacific
15015,Pacific
15016,Pacific
15017,Atlantic
15018,Atlantic
15019,Atlantic
15020,Pacific
15021,Pacific
15022,Pacific
15023,Atlantic
15024,Pacific
15025,Pacific
15026,Indian
15027,Pacific
15028,Atlantic
15029,Atlantic
15030,Pacific
15031,Atlantic
15032,Pacific
15033,Pacific
15034,Pacific
15035,Pacific
15036,Pacific
15037,Pacific
15038,Pacific
15039,Pacific
15040,Pacific
15041,Atlantic
15042,Atlantic
15043,Pacific
15044,Pacific
15045,Pacific
15046,Pacific
15047,Pacific
15048,Pacific
15049,Pacific
15050,Pacific
15051,Atlantic
15052,Atlantic
15053,Pacific
15054,Pacific
15055,Pacific
15056,Atlantic
15057,Pacific
15058,Pacific
15059,Pacific
15060,Pacific
15061,Pacific
15062,Pacific
15063,Pacific
15064,Pacific
15065,Pacific
15066,Atlantic
15067,Atlantic
15068,Pacific
15069,Pacific
15070,Pacific
15071,Atlantic
15072,Pacific
15073,Pacific
15074,Pacific
15075,Pacific
15076,Atlantic
15077,Atlantic
15078,Pacific
15079,Pacific
15080,Pacific
15081,Pacific
15082,Pacific
15083,Pacific
15084,Atlantic
15085,Atlantic
15086,Pacific
15087,Pacific
15088,Atlantic
15089,Atlantic
15090,Pacific
15091,Atlantic
15092,Pacific
15093,Pacific
15094,Atlantic
15095,Pacific
15096,Pacific
15097,Pacific
15098,Pacific
15099,Pacific
15100,Pacific
15101,Atlantic
15102,Pacific
15103,Pacific
15104,Atlantic
15105,Atlantic
15106,Atlantic
15107,Atlantic
15108,Pacific
15109,Pacific
15110,Atlantic
15111,Pacific
15112,Pacific
15113,Pacific
15114,Pacific
15115,Pacific
15116,Pacific
15117,Pacific
15118,Pacific
15119,Atlantic
15120,Pacific
15121,Pacific
15122,Pacific
15123,Pacific
15124,Pacific
15125,Atlantic
15126,Atlantic
15127,Atlantic
15128,Atlantic
15129,Atlantic
15130,Atlantic
15131,Atlantic
15132,Pacific
15133,Pacific
15134,Pacific
15135,Pacific
15136,Pacific
15137,Pacific
15138,Pacific
15139,Pacific
15140,Pacific
15141,Pacific
15142,Pacific
15143,Pacific
15144,Pacific
15145,Pacific
15146,Pacific
15147,Pacific
15148,Pacific
15149,Pacific
15150,Pacific
15151,Pacific
15152,Pacific
15153,Pacific
15154,Pacific
15155,Pacific
15156,Pacific
15157,Pacific
15158,Pacific
15159,Pacific
15160,Pacific
15161,Atlantic
15162,Pacific
15163,Pacific
15164,Pacific
15165,Pacific
15166,Atlantic
15167,Atlantic
15168,Pacific
15169,Atlantic
15170,Atlantic
15171,Atlantic
15172,Atlantic
15173,Atlantic
15174,Atlantic
15175,Pacific
15176,Pacific
15177,Pacific
15178,Pacific
15179,Pacific
15180,Atlantic
15181,Atlantic
15182,Pacific
15183,Pacific
15184,Atlantic
15185,Pacific
15186,Pacific
15187,Pacific
15188,Atlantic
15189,Pacific
15190,Pacific
15191,Atlantic
15192,Atlantic
15193,Atlantic
15194,Pacific
15195,Pacific
15196,Pacific
15197,Pacific
15198,Pacific
15199,Pacific
15200,Pacific
15201,Pacific
15202,Pacific
15203,Pacific
15204,Pacific
15205,Pacific
15206,Atlantic
15207,Pacific
15208,Pacific
15209,Atlantic
15210,Atlantic
15211,Pacific
15212,Atlantic
15213,Pacific
15214,Pacific
15215,Atlantic
15216,Pacific
15217,Atlantic
15218,Pacific
15219,Atlantic
15220,Pacific
15221,Pacific
15222,Atlantic
15223,Pacific
15224,Pacific
15225,Pacific
15226,Pacific
15227,Pacific
15228,Pacific
15229,Atlantic
15230,Atlantic
15231,Pacific
15232,Pacific
15233,Pacific
15234,Pacific
15235,Pacific
15236,Atlantic
15237,Pacific
15238,Pacific
15239,Pacific
15240,Pacific
15241,Pacific
15242,Pacific
15243,Pacific
15244,Pacific
15245,Pacific
15246,Pacific
15247,Pacific
15248,Pacific
15249,Pacific
15250,Pacific
15251,Indian
15252,Pacific
15253,Pacific
15254,Indian
15255,Pacific
15256,Atlantic
15257,Atlantic
15258,Pacific
15259,Pacific
15260,Pacific
15261,Atlantic
15262,Atlantic
15263,Atlantic
15264,Atlantic
15265,Pacific
15266,Pacific
15267,Pacific
15268,Pacific
15269,Atlantic
15270,Pacific
15271,Pacific
15272,Pacific
15273,Pacific
15274,Pacific
15275,Indian
15276,Atlantic
15277,Pacific
15278,Pacific
15279,Pacific
15280,Pacific
15281,Pacific
15282,Pacific
15283,Pacific
15284,Pacific
15285,Pacific
15286,Atlantic
15287,Atlantic
15288,Atlantic
15289,Pacific
15290,Pacific
15291,Pacific
15292,Pacific
15293,Pacific
15294,Pacific
15295,Pacific
15296,Atlantic
15297,Pacific
15298,Pacific
15299,Pacific
15300,Pacific
15301,Pacific
15302,Pacific
15303,Pacific
15304,Atlantic
15305,Pacific
15306,Pacific
15307,Pacific
15308,Pacific
15309,Pacific
15310,Pacific
15311,Pacific
15312,Pacific
15313,Pacific
15314,Pacific
15315,Pacific
15316,Pacific
15317,Pacific
15318,Pacific
15319,Pacific
15320,Pacific
15321,Pacific
15322,Pacific
15323,Pacific
15324,Pacific
15325,Pacific
15326,Pacific
15327,Pacific
15328,Pacific
15329,Pacific
15330,Pacific
15331,Pacific
15332,Pacific
15333,Pacific
15334,Pacific
15335,Pacific
15336,Pacific
15337,Pacific
15338,Pacific
15339,Pacific
15340,Pacific
15341,Pacific
15342,Pacific
15343,Pacific
15344,Pacific
15345,Atlantic
15346,Pacific
15347,Pacific
15348,Pacific
15349,Pacific
15350,Pacific
15351,Pacific
15352,Pacific
15353,Pacific
15354,Pacific
15355,Pacific
15356,Pacific
15357,Atlantic
15358,Atlantic
15359,Pacific
15360,Pacific
15361,Atlantic
15362,Pacific
15363,Pacific
15364,Pacific
15365,Pacific
15366,Pacific
15367,Pacific
15368,Pacific
15369,Pacific
15370,Pacific
15371,Pacific
15372,Pacific
15373,Pacific
15374,Pacific
15375,Pacific
15376,Pacific
15377,Pacific
15378,Pacific
15379,Pacific
15380,Pacific
15381,Pacific
15382,Pacific
15383,Pacific
15384,Pacific
15385,Pacific
15386,Pacific
15387,Pacific
15388,Pacific
15389,Pacific
15390,Pacific
15391,Atlantic
15392,Pacific
15393,Pacific
15394,Pacific
15395,Pacific
15396,Atlantic
15397,Pacific
15398,Pacific
15399,Pacific
15400,Pacific
15401,Pacific
15402,Pacific
15403,Pacific
15404,Pacific
15405,Pacific
15406,Pacific
15407,Pacific
15408,Pacific
15409,Pacific
15410,Pacific
15411,Pacific
15412,Pacific
15413,Atlantic
15414,Atlantic
15415,Pacific
15416,Pacific
15417,Pacific
15418,Pacific
15419,Pacific
15420,Pacific
15421,Pacific
15422,Indian
15423,Pacific
15424,Pacific
15425,Atlantic
15426,Pacific
15427,Pacific
15428,Pacific
15429,Pacific
15430,Pacific
15431,Pacific
15432,Pacific
15433,Atlantic
15434,Pacific
15435,Pacific
15436,Atlantic
15437,Atlantic
15438,Pacific
15439,Pacific
15440,Atlantic
15441,Pacific
15442,Pacific
15443,Pacific
15444,Pacific
15445,Pacific
15446,Pacific
15447,Pacific
15448,Atlantic
15449,Pacific
15450,Pacific
15451,Pacific
15452,Indian
15453,Pacific
15454,Pacific
15455,Pacific
15456,Pacific
15457,Pacific
15458,Pacific
15459,Pacific
15460,Pacific
15461,Pacific
15462,Atlantic
15463,Atlantic
15464,Pacific
15465,Pacific
15466,Pacific
15467,Pacific
15468,Pacific
15469,Pacific
15470,Pacific
15471,Pacific
15472,Pacific
15473,Pacific
15474,Pacific
15475,Pacific
15476,Pacific
15477,Pacific
15478,Pacific
15479,Pacific
15480,Pacific
15481,Pacific
15482,Pacific
15483,Pacific
15484,Pacific
15485,Pacific
15486,Pacific
