,exact_name
0,North Pacific Ocean
1,North Pacific Ocean
2,South Atlantic Ocean
3,false
4,false
5,South Pacific Ocean
6,North Atlantic Ocean
7,Indian Ocean
8,North Atlantic Ocean
9,North Atlantic Ocean
10,South Pacific Ocean
11,Indian Ocean
12,North Atlantic Ocean
13,South Pacific Ocean
14,South Pacific Ocean
15,North Atlantic Ocean
16,Arabian Sea
17,North Atlantic Ocean
18,South Pacific Ocean
19,South Pacific Ocean
20,South Pacific Ocean
21,North Atlantic Ocean
22,Mozambique Channel
23,false
24,South Pacific Ocean
25,false
26,false
27,false
28,North Atlantic Ocean
29,South Atlantic Ocean
30,North Pacific Ocean
31,North Pacific Ocean
32,North Atlantic Ocean
33,North Atlantic Ocean
34,North Atlantic Ocean
35,North Atlantic Ocean
36,false
37,South Pacific Ocean
38,North Pacific Ocean
39,false
40,Indian Ocean
41,North Atlantic Ocean
42,South Atlantic Ocean
43,South Pacific Ocean
44,false
45,North Atlantic Ocean
46,North Pacific Ocean
47,South Pacific Ocean
48,false
49,South Pacific Ocean
50,false
51,North Pacific Ocean
52,false
53,North Atlantic Ocean
54,North Atlantic Ocean
55,North Atlantic Ocean
56,false
57,false
58,false
59,North Atlantic Ocean
60,North Pacific Ocean
61,South Pacific Ocean
62,South Pacific Ocean
63,false
64,Gulf of Guinea
65,Gulf of Guinea
66,Indian Ocean
67,false
68,North Atlantic Ocean
69,North Pacific Ocean
70,North Pacific Ocean
71,false
72,Indian Ocean
73,North Atlantic Ocean
74,Indian Ocean
75,South Pacific Ocean
76,South Pacific Ocean
77,South Pacific Ocean
78,North Atlantic Ocean
79,North Atlantic Ocean
80,false
81,South Pacific Ocean
82,North Atlantic Ocean
83,North Atlantic Ocean
84,South Pacific Ocean
85,North Atlantic Ocean
86,false
87,South Pacific Ocean
88,North Pacific Ocean
89,North Atlantic Ocean
90,Indian Ocean
91,false
92,North Atlantic Ocean
93,South Pacific Ocean
94,North Atlantic Ocean
95,North Pacific Ocean
96,North Atlantic Ocean
97,Indian Ocean
98,false
99,Indian Ocean
100,South Pacific Ocean
101,South Pacific Ocean
102,Philippine Sea
103,South Pacific Ocean
104,South Pacific Ocean
105,South Pacific Ocean
106,Indian Ocean
107,false
108,South Pacific Ocean
109,false
110,North Atlantic Ocean
111,North Atlantic Ocean
112,North Atlantic Ocean
113,South Pacific Ocean
114,false
115,false
116,false
117,South Pacific Ocean
118,North Atlantic Ocean
119,South Pacific Ocean
120,South Pacific Ocean
121,North Pacific Ocean
122,false
123,North Atlantic Ocean
124,false
125,South Pacific Ocean
126,false
127,North Atlantic Ocean
128,North Atlantic Ocean
129,South Pacific Ocean
130,false
131,Indian Ocean
132,North Pacific Ocean
133,false
134,false
135,North Pacific Ocean
136,North Atlantic Ocean
137,North Atlantic Ocean
138,South Atlantic Ocean
139,Indian Ocean
140,North Pacific Ocean
141,South Pacific Ocean
142,false
143,North Atlantic Ocean
144,South Atlantic Ocean
145,false
146,false
147,South Atlantic Ocean
148,North Atlantic Ocean
149,Indian Ocean
150,false
151,South Pacific Ocean
152,North Atlantic Ocean
153,false
154,false
155,false
156,Indian Ocean
157,South Pacific Ocean
158,South Atlantic Ocean
159,South Atlantic Ocean
160,false
161,North Pacific Ocean
162,South Pacific Ocean
163,North Atlantic Ocean
164,false
165,North Atlantic Ocean
166,North Atlantic Ocean
167,false
168,false
169,Gulf of Guinea
170,North Atlantic Ocean
171,South Atlantic Ocean
172,false
173,North Atlantic Ocean
