,exact_name
0,North Pacific Ocean
1,North Pacific Ocean
2,North Pacific Ocean
3,North Pacific Ocean
4,North Pacific Ocean
5,North Pacific Ocean
6,North Pacific Ocean
7,North Pacific Ocean
8,North Pacific Ocean
9,North Pacific Ocean
10,North Pacific Ocean
11,North Pacific Ocean
12,North Pacific Ocean
13,North Pacific Ocean
14,North Pacific Ocean
15,North Pacific Ocean
16,North Pacific Ocean
17,North Pacific Ocean
18,North Pacific Ocean
19,North Pacific Ocean
20,North Pacific Ocean
21,North Pacific Ocean
22,North Pacific Ocean
23,North Pacific Ocean
24,North Pacific Ocean
25,North Pacific Ocean
26,North Pacific Ocean
27,North Pacific Ocean
28,South Atlantic Ocean
29,North Pacific Ocean
30,South Atlantic Ocean
31,South Atlantic Ocean
32,North Pacific Ocean
33,South Atlantic Ocean
34,South Atlantic Ocean
35,false
36,false
37,false
38,false
39,false
40,false
41,South Atlantic Ocean
42,North Pacific Ocean
43,North Pacific Ocean
44,Indian Ocean
45,North Pacific Ocean
46,North Pacific Ocean
47,North Pacific Ocean
48,North Pacific Ocean
49,North Pacific Ocean
50,North Pacific Ocean
51,North Pacific Ocean
52,South Atlantic Ocean
53,South Atlantic Ocean
54,North Pacific Ocean
55,false
56,South Atlantic Ocean
57,false
58,North Pacific Ocean
59,North Pacific Ocean
60,North Pacific Ocean
61,North Pacific Ocean
62,false
63,false
64,false
65,South Atlantic Ocean
66,false
67,South Atlantic Ocean
68,South Atlantic Ocean
69,South Atlantic Ocean
70,South Atlantic Ocean
71,South Atlantic Ocean
72,South Atlantic Ocean
73,false
74,South Atlantic Ocean
75,South Atlantic Ocean
76,false
77,false
78,South Atlantic Ocean
79,false
80,North Pacific Ocean
81,North Pacific Ocean
82,North Pacific Ocean
83,North Pacific Ocean
84,North Pacific Ocean
85,North Pacific Ocean
86,North Pacific Ocean
87,North Pacific Ocean
88,North Pacific Ocean
89,North Pacific Ocean
90,North Pacific Ocean
91,North Pacific Ocean
92,North Pacific Ocean
93,North Pacific Ocean
94,North Pacific Ocean
95,South Atlantic Ocean
96,South Atlantic Ocean
97,false
98,false
99,North Pacific Ocean
100,South Atlantic Ocean
101,South Atlantic Ocean
102,false
103,South Atlantic Ocean
104,false
105,North Pacific Ocean
106,false
107,false
108,North Pacific Ocean
109,North Pacific Ocean
110,North Pacific Ocean
111,North Pacific Ocean
112,South Atlantic Ocean
113,South Atlantic Ocean
114,North Pacific Ocean
115,North Pacific Ocean
116,false
117,false
118,false
119,South Atlantic Ocean
120,North Pacific Ocean
121,North Pacific Ocean
122,false
123,South Atlantic Ocean
124,false
125,North Pacific Ocean
126,North Pacific Ocean
127,North Pacific Ocean
128,North Pacific Ocean
129,false
130,North Pacific Ocean
131,false
132,false
133,false
134,North Pacific Ocean
135,South Atlantic Ocean
136,North Pacific Ocean
137,North Pacific Ocean
138,North Pacific Ocean
139,North Pacific Ocean
140,South Atlantic Ocean
141,South Atlantic Ocean
142,false
143,North Pacific Ocean
144,false
145,false
146,South Atlantic Ocean
147,false
148,false
149,false
150,North Pacific Ocean
151,North Pacific Ocean
152,North Pacific Ocean
153,North Pacific Ocean
154,North Pacific Ocean
155,North Pacific Ocean
156,North Pacific Ocean
157,South Atlantic Ocean
158,false
159,false
160,South Atlantic Ocean
161,false
162,North Pacific Ocean
163,false
164,false
165,South Atlantic Ocean
166,false
167,South Atlantic Ocean
168,false
169,South Atlantic Ocean
170,South Atlantic Ocean
171,North Pacific Ocean
172,false
