,exact_name
0,South Atlantic Ocean
1,false
2,North Atlantic Ocean
3,Indian Ocean
4,Indian Ocean
5,false
6,South Atlantic Ocean
7,false
8,false
9,South Pacific Ocean
10,false
11,Indian Ocean
12,false
13,Indian Ocean
14,false
15,false
16,North Pacific Ocean
17,North Atlantic Ocean
18,Indian Ocean
19,South Atlantic Ocean
20,Indian Ocean
21,false
22,North Pacific Ocean
23,Indian Ocean
24,Indian Ocean
25,false
26,Indian Ocean
27,North Atlantic Ocean
28,Indian Ocean
29,North Pacific Ocean
30,North Pacific Ocean
31,Indian Ocean
32,false
33,North Atlantic Ocean
34,North Atlantic Ocean
35,North Atlantic Ocean
36,North Atlantic Ocean
37,false
38,false
39,North Atlantic Ocean
40,North Atlantic Ocean
41,South Atlantic Ocean
42,Indian Ocean
43,Indian Ocean
44,South Atlantic Ocean
45,South Atlantic Ocean
46,North Atlantic Ocean
47,North Atlantic Ocean
48,South Atlantic Ocean
49,South Atlantic Ocean
50,South Atlantic Ocean
51,South Atlantic Ocean
52,false
53,false
54,false
55,false
56,false
57,North Atlantic Ocean
58,North Atlantic Ocean
59,North Atlantic Ocean
60,North Atlantic Ocean
61,North Atlantic Ocean
62,North Atlantic Ocean
63,false
64,South Atlantic Ocean
65,South Atlantic Ocean
66,North Atlantic Ocean
67,South Atlantic Ocean
68,Indian Ocean
69,false
70,North Atlantic Ocean
71,North Atlantic Ocean
72,false
73,false
74,Indian Ocean
75,North Atlantic Ocean
76,North Atlantic Ocean
77,false
78,false
79,false
80,North Atlantic Ocean
81,false
82,false
83,false
84,South Atlantic Ocean
85,false
86,false
87,false
88,false
89,false
90,false
91,North Atlantic Ocean
92,false
93,false
94,false
95,false
96,false
97,Indian Ocean
98,North Atlantic Ocean
99,false
100,false
101,false
102,false
103,South Atlantic Ocean
104,North Atlantic Ocean
105,Indian Ocean
106,North Atlantic Ocean
107,North Atlantic Ocean
108,North Atlantic Ocean
109,North Atlantic Ocean
110,South Atlantic Ocean
111,South Atlantic Ocean
112,North Atlantic Ocean
113,South Atlantic Ocean
114,South Atlantic Ocean
115,North Atlantic Ocean
116,North Atlantic Ocean
117,South Atlantic Ocean
118,false
119,South Atlantic Ocean
120,false
121,false
122,false
123,false
124,false
125,false
126,false
127,false
128,false
129,false
130,false
131,false
132,false
133,false
134,false
135,false
136,false
137,false
138,false
139,false
