,ocean
0,pacific
1,pacific
2,pacific
3,pacific
4,pacific
5,pacific
6,pacific
7,pacific
8,pacific
9,pacific
10,pacific
11,pacific
12,pacific
13,pacific
14,pacific
15,pacific
16,pacific
17,pacific
18,pacific
19,pacific
20,pacific
21,pacific
22,pacific
23,pacific
24,pacific
25,pacific
26,pacific
27,pacific
28,atlantic
29,pacific
30,atlantic
31,atlantic
32,pacific
33,atlantic
34,atlantic
35,false
36,false
37,false
38,false
39,false
40,false
41,atlantic
42,pacific
43,pacific
44,indian
45,pacific
46,pacific
47,pacific
48,pacific
49,pacific
50,pacific
51,pacific
52,atlantic
53,atlantic
54,pacific
55,false
56,atlantic
57,false
58,pacific
59,pacific
60,pacific
61,pacific
62,false
63,false
64,false
65,atlantic
66,false
67,atlantic
68,atlantic
69,atlantic
70,atlantic
71,atlantic
72,atlantic
73,false
74,atlantic
75,atlantic
76,false
77,false
78,atlantic
79,false
80,pacific
81,pacific
82,pacific
83,pacific
84,pacific
85,pacific
86,pacific
87,pacific
88,pacific
89,pacific
90,pacific
91,pacific
92,pacific
93,pacific
94,pacific
95,atlantic
96,atlantic
97,false
98,false
99,pacific
100,atlantic
101,atlantic
102,false
103,atlantic
104,false
105,pacific
106,false
107,false
108,pacific
109,pacific
110,pacific
111,pacific
112,atlantic
113,atlantic
114,pacific
115,pacific
116,false
117,false
118,false
119,atlantic
120,pacific
121,pacific
122,false
123,atlantic
124,false
125,pacific
126,pacific
127,pacific
128,pacific
129,false
130,pacific
131,false
132,false
133,false
134,pacific
135,atlantic
136,pacific
137,pacific
138,pacific
139,pacific
140,atlantic
141,atlantic
142,false
143,pacific
144,false
145,false
146,atlantic
147,false
148,false
149,false
150,pacific
151,pacific
152,pacific
153,pacific
154,pacific
155,pacific
156,pacific
157,atlantic
158,false
159,false
160,atlantic
161,false
162,pacific
163,false
164,false
165,atlantic
166,false
167,atlantic
168,false
169,atlantic
170,atlantic
171,pacific
172,false
173,pacific
174,atlantic
175,atlantic
176,atlantic
177,atlantic
178,pacific
179,pacific
180,pacific
181,atlantic
182,false
183,false
184,atlantic
185,pacific
186,pacific
187,pacific
188,pacific
189,atlantic
190,false
191,indian
192,atlantic
193,false
194,atlantic
195,atlantic
196,atlantic
197,false
198,false
199,false
200,false
201,false
202,pacific
203,pacific
204,pacific
205,pacific
206,atlantic
207,pacific
208,pacific
209,false
210,false
211,false
212,pacific
213,pacific
214,pacific
215,pacific
216,pacific
217,pacific
218,false
219,pacific
220,false
221,false
222,false
223,atlantic
224,false
225,false
