,exact_name
0,South Pacific Ocean
1,false
2,South Pacific Ocean
3,South Pacific Ocean
4,South Pacific Ocean
5,Coral Sea
6,South Pacific Ocean
7,South Pacific Ocean
8,South Pacific Ocean
9,false
10,false
11,North Pacific Ocean
12,North Pacific Ocean
13,false
14,false
15,false
16,Indian Ocean
17,Indian Ocean
18,Indian Ocean
19,Coral Sea
20,North Pacific Ocean
21,North Pacific Ocean
22,false
23,Philippine Sea
24,false
25,North Pacific Ocean
26,false
27,North Pacific Ocean
28,Indian Ocean
29,Indian Ocean
30,Indian Ocean
31,Indian Ocean
32,Philippine Sea
33,North Pacific Ocean
34,North Pacific Ocean
35,North Pacific Ocean
36,North Pacific Ocean
37,North Pacific Ocean
38,North Pacific Ocean
39,North Pacific Ocean
40,North Pacific Ocean
41,North Pacific Ocean
42,North Pacific Ocean
43,North Pacific Ocean
44,North Pacific Ocean
45,North Pacific Ocean
46,Indian Ocean
47,Philippine Sea
48,Indian Ocean
49,South Pacific Ocean
50,North Pacific Ocean
51,Indian Ocean
52,Indian Ocean
53,Indian Ocean
54,North Pacific Ocean
55,North Pacific Ocean
56,Indian Ocean
57,South Pacific Ocean
58,South Pacific Ocean
59,false
60,North Pacific Ocean
61,Indian Ocean
62,Indian Ocean
63,false
64,North Pacific Ocean
65,North Pacific Ocean
66,Indian Ocean
67,Indian Ocean
68,false
69,North Pacific Ocean
70,Indian Ocean
71,Indian Ocean
72,false
73,North Pacific Ocean
74,South Pacific Ocean
75,South Pacific Ocean
76,North Pacific Ocean
77,Indian Ocean
78,Indian Ocean
79,North Pacific Ocean
80,South Pacific Ocean
81,false
82,North Pacific Ocean
83,North Pacific Ocean
84,Indian Ocean
85,Indian Ocean
86,Philippine Sea
87,Philippine Sea
88,North Pacific Ocean
89,Indian Ocean
90,Indian Ocean
91,Philippine Sea
92,false
93,false
94,false
95,false
96,South Pacific Ocean
97,Indian Ocean
98,Indian Ocean
99,Indian Ocean
100,Indian Ocean
101,Indian Ocean
102,Indian Ocean
103,Indian Ocean
104,Indian Ocean
105,Indian Ocean
106,Coral Sea
107,Indian Ocean
108,Indian Ocean
109,Indian Ocean
110,North Pacific Ocean
111,Solomon Sea
112,Solomon Sea
113,false
114,Indian Ocean
115,Indian Ocean
116,Indian Ocean
117,Indian Ocean
118,false
119,Indian Ocean
120,North Pacific Ocean
121,Indian Ocean
122,false
123,Indian Ocean
124,Indian Ocean
125,Indian Ocean
126,North Atlantic Ocean
127,Indian Ocean
128,Indian Ocean
129,Indian Ocean
130,Indian Ocean
131,Indian Ocean
132,false
133,false
134,Indian Ocean
135,Indian Ocean
136,Indian Ocean
137,Indian Ocean
138,Indian Ocean
139,Indian Ocean
140,Indian Ocean
141,Indian Ocean
142,Arabian Sea
143,Indian Ocean
144,false
145,false
146,Indian Ocean
147,Indian Ocean
148,false
149,false
150,South Atlantic Ocean
151,North Atlantic Ocean
152,South Atlantic Ocean
153,South Pacific Ocean
154,false
155,North Pacific Ocean
156,Tasman Sea
157,South Atlantic Ocean
158,Indian Ocean
159,Indian Ocean
160,Indian Ocean
161,South Atlantic Ocean
162,South Atlantic Ocean
163,South Atlantic Ocean
164,South Atlantic Ocean
165,South Atlantic Ocean
166,false
167,Indian Ocean
168,Indian Ocean
169,Indian Ocean
170,Indian Ocean
171,false
172,Indian Ocean
173,Coral Sea
174,North Atlantic Ocean
175,Indian Ocean
176,Indian Ocean
