,ocean
0,atlantic
1,atlantic
2,atlantic
3,atlantic
4,atlantic
5,atlantic
6,atlantic
7,atlantic
8,atlantic
9,atlantic
10,atlantic
11,atlantic
12,atlantic
13,atlantic
14,atlantic
15,atlantic
16,atlantic
17,atlantic
18,arctic
19,arctic
20,atlantic
21,atlantic
22,atlantic
23,atlantic
24,atlantic
25,atlantic
26,atlantic
27,atlantic
28,atlantic
29,atlantic
30,atlantic
31,atlantic
32,atlantic
33,atlantic
34,atlantic
35,atlantic
36,atlantic
37,atlantic
38,atlantic
39,atlantic
40,atlantic
41,atlantic
42,arctic
43,atlantic
44,pacific
45,pacific
46,arctic
47,pacific
48,arctic
49,arctic
50,pacific
51,pacific
52,arctic
53,arctic
54,arctic
55,atlantic
56,pacific
57,pacific
58,pacific
59,pacific
60,pacific
61,arctic
62,atlantic
63,atlantic
64,atlantic
65,atlantic
66,atlantic
67,atlantic
68,atlantic
69,FALSE
70,FALSE
71,FALSE
72,atlantic
73,atlantic
74,atlantic
75,atlantic
76,atlantic
77,atlantic
78,atlantic
79,arctic
80,FALSE
81,FALSE
82,FALSE
83,FALSE
84,FALSE
85,FALSE
86,atlantic
87,FALSE
88,FALSE
89,FALSE
90,FALSE
91,atlantic
92,atlantic
93,FALSE
94,FALSE
95,FALSE
96,FALSE
97,FALSE
98,FALSE
99,FALSE
100,atlantic
101,atlantic
102,FALSE
103,FALSE
104,FALSE
105,FALSE
106,FALSE
107,FALSE
108,FALSE
109,atlantic
110,atlantic
111,FALSE
112,FALSE
113,FALSE
114,FALSE
115,FALSE
116,FALSE
117,FALSE
118,atlantic
119,atlantic
120,atlantic
121,atlantic
122,atlantic
123,atlantic
124,atlantic
125,atlantic
126,atlantic
127,atlantic
128,atlantic
129,atlantic
130,atlantic
131,atlantic
132,atlantic
133,atlantic
134,atlantic
135,atlantic
136,atlantic
137,atlantic
138,atlantic
139,atlantic
140,atlantic
141,atlantic
142,atlantic
143,atlantic
144,atlantic
145,atlantic
146,atlantic
147,atlantic
148,atlantic
149,atlantic
150,atlantic
151,atlantic
152,atlantic
153,atlantic
154,atlantic
155,atlantic
156,atlantic
157,atlantic
158,atlantic
159,atlantic
160,atlantic
161,atlantic
162,atlantic
163,atlantic
164,atlantic
165,atlantic
166,atlantic
167,atlantic
168,atlantic
169,atlantic
170,atlantic
171,atlantic
172,atlantic
173,atlantic
174,atlantic
175,atlantic
176,atlantic
177,atlantic
178,atlantic
179,atlantic
180,atlantic
181,atlantic
182,atlantic
183,atlantic
184,atlantic
185,atlantic
186,atlantic
187,atlantic
188,atlantic
189,atlantic
190,atlantic
191,atlantic
192,atlantic
193,atlantic
194,atlantic
195,atlantic
196,atlantic
197,atlantic
198,atlantic
199,atlantic
200,atlantic
201,atlantic
202,atlantic
203,atlantic
204,atlantic
205,atlantic
206,atlantic
207,atlantic
208,atlantic
209,atlantic
210,atlantic
211,atlantic
212,atlantic
213,atlantic
214,atlantic
215,atlantic
216,atlantic
217,atlantic
218,atlantic
219,atlantic
220,atlantic
221,atlantic
222,atlantic
223,atlantic
224,atlantic
225,atlantic
226,atlantic
227,atlantic
228,atlantic
229,atlantic
230,atlantic
231,atlantic
232,atlantic
233,atlantic
234,atlantic
235,atlantic
236,atlantic
237,atlantic
238,atlantic
239,atlantic
240,atlantic
241,atlantic
242,atlantic
243,atlantic
244,atlantic
245,atlantic
246,atlantic
247,pacific
248,indian
249,pacific
250,indian
251,indian
252,indian
253,indian
254,indian
255,indian
256,indian
257,pacific
258,FALSE
259,FALSE
260,pacific
261,pacific
262,pacific
263,pacific
264,pacific
265,atlantic
266,atlantic
267,indian
268,indian
269,atlantic
270,atlantic
271,atlantic
272,atlantic
273,atlantic
274,atlantic
275,atlantic
276,atlantic
277,atlantic
278,atlantic
279,atlantic
280,atlantic
281,atlantic
282,atlantic
283,atlantic
284,atlantic
285,atlantic
286,atlantic
287,atlantic
288,atlantic
289,atlantic
290,atlantic
291,atlantic
292,atlantic
293,atlantic
294,atlantic
295,atlantic
296,atlantic
297,atlantic
298,atlantic
299,atlantic
300,atlantic
301,atlantic
302,atlantic
303,atlantic
304,atlantic
305,atlantic
306,atlantic
307,atlantic
308,atlantic
309,atlantic
310,atlantic
311,arctic
312,atlantic
313,atlantic
314,atlantic
315,atlantic
316,atlantic
317,atlantic
318,atlantic
319,atlantic
320,atlantic
321,atlantic
322,atlantic
323,atlantic
324,atlantic
325,atlantic
326,atlantic
327,atlantic
328,atlantic
329,atlantic
330,atlantic
331,atlantic
332,atlantic
333,atlantic
334,atlantic
335,atlantic
336,atlantic
337,atlantic
338,atlantic
339,atlantic
340,atlantic
341,atlantic
342,atlantic
343,atlantic
344,atlantic
345,atlantic
346,atlantic
347,atlantic
348,atlantic
349,atlantic
350,atlantic
351,atlantic
352,atlantic
353,atlantic
354,atlantic
355,atlantic
356,atlantic
357,atlantic
358,atlantic
359,atlantic
360,atlantic
361,atlantic
362,atlantic
363,atlantic
364,atlantic
365,atlantic
366,atlantic
367,atlantic
368,atlantic
369,atlantic
370,atlantic
371,atlantic
372,atlantic
373,atlantic
374,atlantic
375,atlantic
376,atlantic
377,atlantic
378,atlantic
379,atlantic
380,atlantic
381,atlantic
382,atlantic
383,atlantic
384,atlantic
385,atlantic
386,atlantic
387,atlantic
388,atlantic
389,atlantic
390,atlantic
391,atlantic
392,atlantic
393,arctic
394,arctic
395,atlantic
396,atlantic
397,atlantic
398,atlantic
399,atlantic
400,atlantic
401,atlantic
402,atlantic
403,atlantic
404,arctic
405,atlantic
406,atlantic
407,atlantic
408,atlantic
409,atlantic
410,atlantic
411,arctic
412,pacific
413,atlantic
414,arctic
415,atlantic
416,arctic
417,pacific
418,pacific
419,pacific
420,arctic
421,pacific
422,arctic
423,arctic
424,pacific
425,arctic
426,pacific
427,arctic
428,pacific
429,atlantic
430,FALSE
431,atlantic
432,atlantic
433,atlantic
434,atlantic
435,atlantic
436,atlantic
437,arctic
438,arctic
439,FALSE
440,FALSE
441,FALSE
442,FALSE
443,pacific
444,FALSE
445,atlantic
446,FALSE
447,FALSE
448,FALSE
449,FALSE
450,FALSE
451,FALSE
452,atlantic
453,FALSE
454,FALSE
455,FALSE
456,FALSE
457,FALSE
458,FALSE
459,atlantic
460,FALSE
461,FALSE
462,FALSE
463,FALSE
464,FALSE
465,FALSE
466,FALSE
467,FALSE
468,FALSE
469,atlantic
470,atlantic
471,atlantic
472,atlantic
473,atlantic
474,atlantic
475,atlantic
476,atlantic
477,atlantic
478,atlantic
479,atlantic
480,atlantic
481,atlantic
482,atlantic
483,atlantic
484,atlantic
485,atlantic
486,atlantic
487,atlantic
488,atlantic
489,atlantic
490,atlantic
491,atlantic
492,atlantic
493,atlantic
494,atlantic
495,atlantic
496,atlantic
497,atlantic
498,atlantic
499,atlantic
500,atlantic
501,atlantic
502,atlantic
503,atlantic
504,atlantic
505,atlantic
506,atlantic
507,atlantic
508,atlantic
509,atlantic
510,atlantic
511,atlantic
512,atlantic
513,atlantic
514,atlantic
515,atlantic
516,atlantic
517,atlantic
518,atlantic
519,atlantic
520,atlantic
521,atlantic
522,atlantic
523,atlantic
524,atlantic
525,atlantic
526,atlantic
527,atlantic
528,atlantic
529,atlantic
530,atlantic
531,atlantic
532,atlantic
533,atlantic
534,atlantic
535,atlantic
536,atlantic
537,atlantic
538,atlantic
539,atlantic
540,atlantic
541,atlantic
542,atlantic
543,atlantic
544,atlantic
545,atlantic
546,atlantic
547,atlantic
548,atlantic
549,atlantic
550,atlantic
551,atlantic
552,atlantic
553,atlantic
554,atlantic
555,atlantic
556,atlantic
557,atlantic
558,atlantic
559,atlantic
560,atlantic
561,atlantic
562,atlantic
563,atlantic
564,atlantic
565,atlantic
566,atlantic
567,atlantic
568,atlantic
569,atlantic
570,atlantic
571,atlantic
572,atlantic
573,atlantic
574,atlantic
575,atlantic
576,atlantic
577,atlantic
578,atlantic
579,atlantic
580,atlantic
581,atlantic
582,atlantic
583,atlantic
584,atlantic
585,atlantic
586,atlantic
587,atlantic
588,atlantic
589,pacific
590,indian
591,indian
592,indian
593,pacific
594,pacific
595,pacific
596,pacific
597,FALSE
598,pacific
599,pacific
600,pacific
601,pacific
602,pacific
603,pacific
604,pacific
605,pacific
606,pacific
607,pacific
608,atlantic
609,atlantic
610,indian
611,indian
612,atlantic
613,atlantic
614,atlantic
615,atlantic
616,indian
617,atlantic
618,atlantic
619,atlantic
620,atlantic
621,atlantic
622,atlantic
623,atlantic
624,atlantic
625,atlantic
626,atlantic
627,atlantic
628,atlantic
629,atlantic
630,atlantic
631,atlantic
632,atlantic
633,atlantic
634,atlantic
635,atlantic
636,atlantic
637,atlantic
638,atlantic
639,atlantic
640,atlantic
641,atlantic
642,atlantic
643,atlantic
644,atlantic
645,atlantic
646,atlantic
647,atlantic
648,atlantic
649,atlantic
650,atlantic
651,atlantic
652,atlantic
653,atlantic
654,atlantic
655,atlantic
656,atlantic
657,atlantic
658,atlantic
659,atlantic
660,atlantic
661,atlantic
662,atlantic
663,atlantic
664,atlantic
665,atlantic
666,atlantic
667,atlantic
668,atlantic
669,atlantic
670,atlantic
671,atlantic
672,atlantic
673,atlantic
674,atlantic
675,atlantic
676,atlantic
677,atlantic
678,atlantic
679,atlantic
680,atlantic
681,atlantic
682,atlantic
