,ocean
605,indian
606,indian
607,indian
608,indian
609,indian
610,indian
611,indian
612,pacific
613,pacific
614,false
615,pacific
616,atlantic
617,atlantic
618,pacific
619,pacific
620,pacific
621,pacific
622,atlantic
623,pacific
624,pacific
625,pacific
626,false
627,false
628,false
629,false
630,false
631,false
632,false
633,false
634,false
635,false
636,pacific
637,pacific
638,false
639,false
640,false
641,atlantic
642,indian
643,atlantic
644,pacific
645,pacific
646,false
647,pacific
648,pacific
649,false
650,false
651,false
652,atlantic
653,false
654,pacific
655,false
656,false
657,false
658,false
659,false
660,pacific
661,pacific
662,false
663,indian
664,false
665,false
666,pacific
667,pacific
668,pacific
669,pacific
670,pacific
671,pacific
672,pacific
673,pacific
674,pacific
675,pacific
676,pacific
677,pacific
678,pacific
679,false
680,pacific
681,pacific
682,false
683,false
684,false
685,pacific
686,false
687,pacific
688,pacific
689,pacific
690,pacific
691,pacific
692,pacific
693,false
694,indian
695,pacific
696,pacific
697,pacific
698,false
699,false
700,pacific
701,false
702,pacific
703,pacific
704,false
705,false
706,false
707,false
708,false
709,false
710,false
711,false
712,false
713,false
714,false
715,false
716,false
717,false
718,false
719,false
720,pacific
721,false
722,pacific
723,false
724,false
725,false
726,false
727,atlantic
728,atlantic
729,atlantic
730,atlantic
731,atlantic
732,indian
733,indian
734,indian
735,indian
736,indian
737,indian
738,indian
739,indian
740,indian
741,indian
742,indian
743,indian
744,indian
745,indian
746,indian
747,indian
748,indian
749,indian
750,indian
751,indian
752,indian
753,indian
754,indian
755,indian
756,indian
757,indian
758,indian
759,indian
760,indian
761,indian
762,indian
763,indian
764,atlantic
765,atlantic
766,atlantic
767,atlantic
768,false
769,false
770,false
771,false
772,false
773,false
774,false
775,false
776,atlantic
777,atlantic
778,pacific
779,pacific
780,pacific
781,pacific
782,indian
783,indian
784,indian
785,indian
786,indian
787,indian
788,indian
789,indian
790,indian
791,indian
792,indian
793,indian
794,false
795,atlantic
796,false
797,indian
798,indian
799,atlantic
800,pacific
801,false
802,pacific
803,indian
804,indian
805,pacific
806,false
807,atlantic
808,false
809,false
810,indian
811,indian
812,pacific
813,pacific
814,pacific
815,pacific
816,pacific
817,pacific
818,atlantic
819,false
820,false
821,indian
822,atlantic
823,atlantic
824,pacific
825,pacific
826,indian
827,pacific
828,indian
829,indian
830,atlantic
831,false
832,false
833,false
834,pacific
835,indian
836,false
837,false
838,false
839,indian
840,false
841,atlantic
842,indian
843,false
844,indian
845,indian
846,pacific
847,pacific
848,atlantic
849,pacific
850,pacific
851,pacific
852,pacific
853,false
854,indian
855,indian
856,indian
857,indian
858,indian
859,indian
860,pacific
861,indian
862,atlantic
863,atlantic
864,atlantic
865,false
866,atlantic
867,false
868,pacific
869,indian
870,indian
871,indian
872,atlantic
873,indian
874,pacific
875,false
876,false
877,indian
878,indian
879,pacific
880,false
881,false
882,indian
883,false
884,false
885,indian
886,indian
887,atlantic
888,atlantic
889,atlantic
890,false
891,pacific
892,indian
893,indian
894,indian
895,atlantic
896,pacific
897,indian
898,indian
899,false
900,false
901,pacific
902,pacific
903,false
904,indian
905,pacific
906,false
907,indian
908,indian
909,indian
910,indian
911,atlantic
912,pacific
913,pacific
914,pacific
915,pacific
916,pacific
917,false
918,indian
919,indian
920,pacific
921,false
922,pacific
923,pacific
924,false
925,indian
926,indian
927,false
928,pacific
929,indian
930,indian
931,indian
932,pacific
933,false
934,indian
935,false
936,false
937,pacific
938,pacific
939,indian
940,false
941,indian
942,atlantic
943,indian
944,false
945,pacific
946,indian
947,indian
948,indian
949,pacific
950,false
951,pacific
952,indian
953,pacific
954,false
955,indian
956,false
957,pacific
958,pacific
959,false
960,false
961,indian
962,pacific
963,pacific
964,indian
965,false
966,pacific
967,false
968,false
969,indian
970,indian
971,indian
972,false
973,false
974,indian
975,indian
976,indian
977,atlantic
978,atlantic
979,indian
980,indian
981,atlantic
982,pacific
983,false
984,indian
985,indian
986,indian
987,indian
988,false
989,false
990,false
991,indian
992,indian
993,indian
994,false
995,false
996,indian
997,atlantic
998,false
999,indian
1000,pacific
1001,atlantic
1002,false
1003,indian
1004,false
1005,atlantic
1006,indian
1007,indian
1008,indian
1009,atlantic
1010,false
1011,false
1012,pacific
1013,pacific
1014,pacific
1015,indian
1016,false
1017,indian
1018,pacific
1019,atlantic
1020,indian
1021,indian
1022,false
1023,atlantic
1024,atlantic
1025,false
1026,false
1027,indian
1028,false
1029,false
1030,false
1031,atlantic
1032,pacific
1033,pacific
1034,indian
1035,pacific
1036,false
1037,atlantic
1038,indian
1039,pacific
1040,pacific
1041,indian
1042,indian
1043,false
1044,false
1045,atlantic
1046,pacific
1047,pacific
1048,pacific
1049,pacific
1050,false
1051,atlantic
1052,pacific
1053,pacific
1054,false
1055,atlantic
1056,false
1057,atlantic
1058,indian
1059,false
1060,false
1061,indian
1062,pacific
1063,false
1064,false
1065,false
1066,false
1067,pacific
1068,pacific
1069,atlantic
1070,pacific
1071,false
1072,indian
1073,indian
