,ocean
0,false
1,false
2,false
3,pacific
4,pacific
5,pacific
6,false
7,false
8,pacific
9,atlantic
10,pacific
11,pacific
12,atlantic
13,pacific
14,false
15,atlantic
16,pacific
17,pacific
18,atlantic
19,false
20,pacific
21,atlantic
22,atlantic
23,pacific
24,pacific
25,pacific
26,pacific
27,pacific
28,atlantic
29,pacific
30,pacific
31,pacific
32,pacific
33,false
34,atlantic
35,pacific
36,false
37,pacific
38,pacific
39,atlantic
40,pacific
41,pacific
42,atlantic
43,atlantic
44,pacific
45,pacific
46,pacific
47,atlantic
48,pacific
49,pacific
50,atlantic
51,pacific
52,pacific
53,atlantic
54,pacific
55,false
56,pacific
57,pacific
58,pacific
59,false
60,pacific
61,pacific
62,atlantic
63,pacific
64,pacific
65,false
66,pacific
67,pacific
68,pacific
69,atlantic
70,pacific
71,atlantic
72,atlantic
73,pacific
74,false
75,pacific
76,atlantic
77,pacific
78,pacific
79,pacific
80,atlantic
81,pacific
82,pacific
83,atlantic
84,false
85,pacific
86,pacific
87,false
88,false
89,pacific
90,pacific
91,pacific
92,atlantic
93,false
94,false
95,atlantic
96,false
97,pacific
98,pacific
99,false
100,atlantic
101,false
102,false
103,pacific
104,false
105,false
106,false
107,pacific
108,false
109,atlantic
110,false
111,atlantic
112,atlantic
113,atlantic
114,atlantic
115,atlantic
116,atlantic
117,atlantic
118,atlantic
119,atlantic
120,indian
121,indian
122,indian
123,atlantic
124,atlantic
125,atlantic
126,atlantic
127,atlantic
128,atlantic
129,atlantic
130,atlantic
131,atlantic
132,atlantic
133,atlantic
134,false
135,atlantic
136,atlantic
137,atlantic
138,atlantic
139,atlantic
140,atlantic
141,atlantic
142,atlantic
143,atlantic
144,atlantic
145,atlantic
146,atlantic
147,atlantic
148,atlantic
149,atlantic
150,atlantic
151,indian
152,indian
153,atlantic
154,atlantic
155,atlantic
156,atlantic
157,atlantic
158,atlantic
159,atlantic
160,atlantic
161,atlantic
162,atlantic
163,atlantic
164,atlantic
165,atlantic
166,atlantic
167,atlantic
168,atlantic
