,exact_name
0,North Atlantic Ocean
1,South Atlantic Ocean
2,North Atlantic Ocean
3,North Atlantic Ocean
4,North Atlantic Ocean
5,North Atlantic Ocean
6,North Atlantic Ocean
7,North Atlantic Ocean
8,North Atlantic Ocean
9,North Atlantic Ocean
10,North Atlantic Ocean
11,North Atlantic Ocean
12,North Atlantic Ocean
13,North Atlantic Ocean
14,North Atlantic Ocean
15,North Atlantic Ocean
16,North Atlantic Ocean
17,North Atlantic Ocean
18,North Atlantic Ocean
19,North Atlantic Ocean
20,North Atlantic Ocean
21,Celtic Sea
22,Celtic Sea
23,North Atlantic Ocean
24,North Atlantic Ocean
25,North Atlantic Ocean
26,Southern Ocean
27,Celtic Sea
28,Celtic Sea
29,North Atlantic Ocean
30,North Atlantic Ocean
31,North Atlantic Ocean
32,North Atlantic Ocean
33,North Atlantic Ocean
34,Mediterranean Sea - Eastern Basin
35,North Atlantic Ocean
36,Norwegian Sea
37,Barentsz Sea
38,Norwegian Sea
39,Barentsz Sea
40,Norwegian Sea
41,North Atlantic Ocean
42,Southern Ocean
43,Southern Ocean
44,Southern Ocean
45,Barentsz Sea
46,Sea of Okhotsk
47,Sea of Okhotsk
48,Sea of Okhotsk
49,Sea of Okhotsk
50,Sea of Okhotsk
51,Japan Sea
52,Sea of Okhotsk
53,Barentsz Sea
54,Sea of Okhotsk
55,Barentsz Sea
56,Barentsz Sea
57,Sea of Okhotsk
58,Sea of Okhotsk
59,Barentsz Sea
60,Barentsz Sea
61,Sea of Okhotsk
62,Barentsz Sea
63,Barentsz Sea
64,FALSE
65,FALSE
66,FALSE
67,Gulf of Alaska
68,South Atlantic Ocean
69,South Atlantic Ocean
70,Labrador Sea
71,Davis Strait
72,North Atlantic Ocean
73,North Atlantic Ocean
74,South Atlantic Ocean
75,FALSE
76,FALSE
77,FALSE
78,Gulf of Alaska
79,FALSE
80,Gulf of Alaska
81,Gulf of Alaska
82,FALSE
83,FALSE
84,FALSE
85,FALSE
86,FALSE
87,FALSE
88,North Atlantic Ocean
89,North Atlantic Ocean
90,North Atlantic Ocean
91,Gulf of Alaska
92,FALSE
93,FALSE
94,FALSE
95,FALSE
96,FALSE
97,FALSE
98,South Pacific Ocean
99,FALSE
100,FALSE
101,FALSE
102,FALSE
103,FALSE
104,FALSE
105,North Atlantic Ocean
106,North Atlantic Ocean
107,North Atlantic Ocean
108,North Atlantic Ocean
109,FALSE
110,FALSE
111,FALSE
112,FALSE
113,FALSE
114,FALSE
115,FALSE
116,FALSE
117,South Atlantic Ocean
118,South Atlantic Ocean
119,South Atlantic Ocean
120,South Atlantic Ocean
121,South Atlantic Ocean
122,South Atlantic Ocean
123,South Atlantic Ocean
124,Arafura Sea
125,North Pacific Ocean
126,South Atlantic Ocean
127,North Pacific Ocean
128,Arabian Sea
129,North Pacific Ocean
130,FALSE
131,North Pacific Ocean
132,North Pacific Ocean
133,North Pacific Ocean
134,North Pacific Ocean
135,North Pacific Ocean
136,North Pacific Ocean
137,North Pacific Ocean
138,North Pacific Ocean
139,North Pacific Ocean
140,Indian Ocean
141,North Pacific Ocean
142,Southern Ocean
143,South Atlantic Ocean
144,FALSE
145,South Atlantic Ocean
146,Indian Ocean
147,Indian Ocean
148,Indian Ocean
149,Indian Ocean
150,Indian Ocean
151,Indian Ocean
152,Indian Ocean
153,Indian Ocean
154,Indian Ocean
155,Indian Ocean
156,Southern Ocean
157,South Pacific Ocean
158,Tasman Sea
159,South Atlantic Ocean
160,South Atlantic Ocean
161,South Atlantic Ocean
162,Indian Ocean
163,South Atlantic Ocean
164,Indian Ocean
165,Indian Ocean
166,South Atlantic Ocean
167,South Atlantic Ocean
168,South Atlantic Ocean
169,South Atlantic Ocean
170,South Atlantic Ocean
171,South Atlantic Ocean
172,South Atlantic Ocean
173,Indian Ocean
174,Indian Ocean
175,Indian Ocean
176,Indian Ocean
177,Indian Ocean
178,Indian Ocean
179,Southern Ocean
180,South Pacific Ocean
181,South Atlantic Ocean
182,South Atlantic Ocean
183,South Atlantic Ocean
184,South Atlantic Ocean
185,FALSE
186,Bismarck Sea
187,FALSE
188,South Atlantic Ocean
189,North Atlantic Ocean
190,North Atlantic Ocean
191,North Atlantic Ocean
192,North Atlantic Ocean
193,North Atlantic Ocean
194,North Atlantic Ocean
195,North Atlantic Ocean
196,North Atlantic Ocean
197,North Atlantic Ocean
198,North Atlantic Ocean
199,Celtic Sea
200,North Atlantic Ocean
201,North Atlantic Ocean
202,North Atlantic Ocean
203,North Atlantic Ocean
204,North Atlantic Ocean
205,North Atlantic Ocean
206,North Atlantic Ocean
207,North Atlantic Ocean
208,Celtic Sea
209,Celtic Sea
210,Celtic Sea
211,North Atlantic Ocean
212,North Atlantic Ocean
213,Celtic Sea
214,North Atlantic Ocean
215,North Atlantic Ocean
216,North Atlantic Ocean
217,North Atlantic Ocean
218,North Atlantic Ocean
219,North Atlantic Ocean
220,North Atlantic Ocean
221,North Atlantic Ocean
222,North Atlantic Ocean
223,North Atlantic Ocean
224,Barentsz Sea
225,Norwegian Sea
226,Barentsz Sea
227,Barentsz Sea
228,Barentsz Sea
229,Barentsz Sea
230,Norwegian Sea
231,Barentsz Sea
232,North Atlantic Ocean
233,Barentsz Sea
234,Barentsz Sea
235,North Atlantic Ocean
236,Norwegian Sea
237,South Atlantic Ocean
238,South Atlantic Ocean
239,Sea of Okhotsk
240,Japan Sea
241,Sea of Okhotsk
242,South Pacific Ocean
243,Sea of Okhotsk
244,Sea of Okhotsk
245,North Pacific Ocean
246,Barentsz Sea
247,Sea of Okhotsk
248,Japan Sea
249,Sea of Okhotsk
250,FALSE
251,FALSE
252,South Atlantic Ocean
253,South Atlantic Ocean
254,FALSE
255,FALSE
256,FALSE
257,North Atlantic Ocean
258,Gulf of Guinea
259,FALSE
260,FALSE
261,FALSE
262,FALSE
263,FALSE
264,FALSE
265,FALSE
266,FALSE
267,North Atlantic Ocean
268,FALSE
269,FALSE
270,FALSE
271,FALSE
272,Gulf of Alaska
273,Gulf of Alaska
274,FALSE
275,FALSE
276,FALSE
277,FALSE
278,Gulf of Alaska
279,FALSE
280,Gulf of Alaska
281,FALSE
282,FALSE
283,FALSE
284,FALSE
285,Gulf of Alaska
286,FALSE
287,FALSE
288,FALSE
289,FALSE
290,FALSE
291,FALSE
292,FALSE
293,FALSE
294,FALSE
295,FALSE
296,FALSE
297,North Atlantic Ocean
298,FALSE
299,FALSE
300,South Atlantic Ocean
301,South Atlantic Ocean
302,South Atlantic Ocean
303,South Atlantic Ocean
304,South Atlantic Ocean
305,South Atlantic Ocean
306,South Atlantic Ocean
307,South Atlantic Ocean
308,North Pacific Ocean
309,North Pacific Ocean
310,North Pacific Ocean
311,FALSE
312,North Pacific Ocean
313,North Pacific Ocean
314,South Pacific Ocean
315,FALSE
316,North Pacific Ocean
317,North Pacific Ocean
318,North Pacific Ocean
319,North Pacific Ocean
320,North Pacific Ocean
321,North Pacific Ocean
322,North Pacific Ocean
323,FALSE
324,North Pacific Ocean
325,Southern Ocean
326,South Atlantic Ocean
327,Southern Ocean
328,FALSE
329,South Atlantic Ocean
330,South Atlantic Ocean
331,Coral Sea
332,Indian Ocean
333,Indian Ocean
334,Indian Ocean
335,Indian Ocean
336,Indian Ocean
337,Indian Ocean
338,Indian Ocean
339,Indian Ocean
340,Indian Ocean
341,Indian Ocean
342,South Pacific Ocean
343,Southern Ocean
344,Southern Ocean
345,Southern Ocean
346,Tasman Sea
347,Indian Ocean
348,Indian Ocean
349,South Atlantic Ocean
350,South Atlantic Ocean
351,South Atlantic Ocean
352,South Atlantic Ocean
353,South Atlantic Ocean
354,South Atlantic Ocean
355,South Atlantic Ocean
356,South Atlantic Ocean
357,South Atlantic Ocean
358,South Atlantic Ocean
359,South Atlantic Ocean
360,South Atlantic Ocean
361,Gulf of Guinea
362,Gulf of Guinea
363,Gulf of Guinea
364,Gulf of Guinea
365,Gulf of Guinea
366,Indian Ocean
367,Indian Ocean
368,Indian Ocean
369,Indian Ocean
370,Indian Ocean
371,South Atlantic Ocean
372,South Atlantic Ocean
373,South Pacific Ocean
374,South Atlantic Ocean
375,South Atlantic Ocean
376,Bismarck Sea
377,Indian Ocean
378,South Atlantic Ocean
379,South Atlantic Ocean
380,North Atlantic Ocean
381,North Atlantic Ocean
382,North Atlantic Ocean
383,North Atlantic Ocean
384,North Atlantic Ocean
385,North Atlantic Ocean
386,North Atlantic Ocean
387,North Atlantic Ocean
388,North Atlantic Ocean
389,North Atlantic Ocean
390,North Atlantic Ocean
391,North Atlantic Ocean
392,North Atlantic Ocean
393,Celtic Sea
394,North Atlantic Ocean
395,Celtic Sea
396,North Atlantic Ocean
397,North Atlantic Ocean
398,North Atlantic Ocean
399,North Atlantic Ocean
400,Celtic Sea
401,North Atlantic Ocean
402,North Atlantic Ocean
403,North Atlantic Ocean
404,Celtic Sea
405,North Atlantic Ocean
406,Mediterranean Sea - Eastern Basin
407,Barentsz Sea
408,Barentsz Sea
409,Barentsz Sea
410,Barentsz Sea
411,Norwegian Sea
412,Barentsz Sea
413,Barentsz Sea
414,Barentsz Sea
415,Norwegian Sea
416,Norwegian Sea
417,Barentsz Sea
418,North Atlantic Ocean
419,South Atlantic Ocean
420,Sea of Okhotsk
421,Sea of Okhotsk
422,Sea of Okhotsk
423,Sea of Okhotsk
424,Sea of Okhotsk
425,Sea of Okhotsk
426,Southern Ocean
427,South Pacific Ocean
428,Sea of Okhotsk
429,Japan Sea
430,Sea of Okhotsk
431,Sea of Okhotsk
432,Sea of Okhotsk
433,Sea of Okhotsk
434,Sea of Okhotsk
435,Barentsz Sea
436,Barentsz Sea
437,Barentsz Sea
438,Bay of Bengal
439,FALSE
440,FALSE
441,FALSE
442,Davis Strait
443,North Atlantic Ocean
444,FALSE
445,North Atlantic Ocean
446,Gulf of Alaska
447,FALSE
448,North Atlantic Ocean
449,North Atlantic Ocean
450,North Atlantic Ocean
451,North Atlantic Ocean
452,North Atlantic Ocean
453,North Atlantic Ocean
454,FALSE
455,FALSE
456,FALSE
457,North Atlantic Ocean
458,FALSE
459,FALSE
460,FALSE
461,North Atlantic Ocean
462,FALSE
463,North Atlantic Ocean
464,FALSE
465,North Atlantic Ocean
466,North Atlantic Ocean
467,FALSE
468,FALSE
469,FALSE
470,FALSE
471,FALSE
472,FALSE
473,FALSE
474,FALSE
475,FALSE
476,FALSE
477,Gulf of Alaska
478,FALSE
479,FALSE
480,North Atlantic Ocean
481,FALSE
482,FALSE
483,FALSE
484,FALSE
485,South Atlantic Ocean
486,South Atlantic Ocean
487,South Atlantic Ocean
488,South Atlantic Ocean
489,North Pacific Ocean
490,North Pacific Ocean
491,North Pacific Ocean
492,Arabian Sea
493,Indian Ocean
494,North Pacific Ocean
495,North Pacific Ocean
496,North Pacific Ocean
497,North Pacific Ocean
498,North Pacific Ocean
499,North Pacific Ocean
500,North Pacific Ocean
501,North Pacific Ocean
502,South Atlantic Ocean
503,South Atlantic Ocean
504,South Atlantic Ocean
505,South Atlantic Ocean
506,South Atlantic Ocean
507,South Atlantic Ocean
508,Coral Sea
509,Tasman Sea
510,Great Australian Bight
511,Indian Ocean
512,Indian Ocean
513,Indian Ocean
514,Indian Ocean
515,Indian Ocean
516,FALSE
517,South Pacific Ocean
518,Indian Ocean
519,South Atlantic Ocean
520,South Atlantic Ocean
521,South Atlantic Ocean
522,South Atlantic Ocean
523,Indian Ocean
524,Gulf of Guinea
525,Indian Ocean
526,Indian Ocean
527,Indian Ocean
