,ocean
0,pacific
1,pacific
2,atlantic
3,false
4,false
5,pacific
6,atlantic
7,indian
8,atlantic
9,atlantic
10,pacific
11,indian
12,atlantic
13,pacific
14,pacific
15,atlantic
16,indian
17,atlantic
18,pacific
19,pacific
20,pacific
21,atlantic
22,indian
23,false
24,pacific
25,false
26,false
27,false
28,atlantic
29,atlantic
30,pacific
31,pacific
32,atlantic
33,atlantic
34,atlantic
35,atlantic
36,false
37,pacific
38,pacific
39,false
40,indian
41,atlantic
42,atlantic
43,pacific
44,false
45,atlantic
46,pacific
47,pacific
48,false
49,pacific
50,false
51,pacific
52,false
53,atlantic
54,atlantic
55,atlantic
56,false
57,false
58,false
59,atlantic
60,pacific
61,pacific
62,pacific
63,false
64,atlantic
65,atlantic
66,indian
67,false
68,atlantic
69,pacific
70,pacific
71,false
72,indian
73,atlantic
74,indian
75,pacific
76,pacific
77,pacific
78,atlantic
79,atlantic
80,false
81,pacific
82,atlantic
83,atlantic
84,pacific
85,atlantic
86,false
87,pacific
88,pacific
89,atlantic
90,indian
91,false
92,atlantic
93,pacific
94,atlantic
95,pacific
96,atlantic
97,indian
98,false
99,indian
100,pacific
101,pacific
102,pacific
103,pacific
104,pacific
105,pacific
106,indian
107,false
108,pacific
109,false
110,atlantic
111,atlantic
112,atlantic
113,pacific
114,false
115,false
116,false
117,pacific
118,atlantic
119,pacific
120,pacific
121,pacific
122,false
123,atlantic
124,false
125,pacific
126,false
127,atlantic
128,atlantic
129,pacific
130,false
131,indian
132,pacific
133,false
134,false
135,pacific
136,atlantic
137,atlantic
138,atlantic
139,indian
140,pacific
141,pacific
142,false
143,atlantic
144,atlantic
145,false
146,false
147,atlantic
148,atlantic
149,indian
150,false
151,pacific
152,atlantic
153,false
154,false
155,false
156,indian
157,pacific
158,atlantic
159,atlantic
160,false
161,pacific
162,pacific
163,atlantic
164,false
165,atlantic
166,atlantic
167,false
168,false
169,atlantic
170,atlantic
171,atlantic
172,false
173,atlantic
174,pacific
175,false
176,indian
177,atlantic
178,atlantic
179,atlantic
180,atlantic
181,false
182,pacific
183,pacific
184,false
185,atlantic
186,atlantic
187,false
188,false
189,atlantic
190,false
191,atlantic
192,pacific
193,pacific
194,false
195,atlantic
196,atlantic
197,pacific
198,false
199,false
200,false
201,atlantic
202,atlantic
203,atlantic
204,atlantic
205,pacific
206,indian
207,pacific
208,false
209,atlantic
210,atlantic
211,atlantic
212,atlantic
213,pacific
214,pacific
215,indian
216,atlantic
217,pacific
218,pacific
219,pacific
220,atlantic
221,pacific
